row,h_ra,h_dec,petroR50_r,expRad_r,deVRad_r,fracDeV_r,modelMag_r
450,213.213492495312,35.7108930733145,8.22944,8.571435,12.71082,1.0,13.31647
451,,,,,,,
453,,,,,,,
454,,,,,,,
455,,,,,,,
456,134.894057995448,45.9267091136971,6.770213,7.034091,12.44796,0.1424102,14.31257
457,221.7763387291,11.5938052195736,5.801387,5.858096,7.00192,1.0,13.18607
460,,,,,,,
467,355.059069656514,26.202937974103,4.201937,7.472591,19.12482,0.0,17.38021
468,,,,,,,
469,,,,,,,
470,,,,,,,
471,,,,,,,
473,,,,,,,
475,,,,,,,
477,38.8931189280418,-6.06392010667995,3.127317,3.008055,3.620273,1.0,14.67234
478,336.381500599457,38.9837666738802,3.723075,4.868218,10.33674,0.0,15.88428
479,,,,,,,
480,,,,,,,
482,,,,,,,
483,247.437154571118,40.8116112433347,17.69461,16.4404,21.6395,1.0,11.93247
484,247.437154571118,40.8116112433347,17.69461,16.4404,21.6395,1.0,11.93247
488,,,,,,,
489,,,,,,,
490,128.238729586013,-3.85819439960325,4.68981,4.582192,5.09227,1.0,14.64131
491,,,,,,,
492,,,,,,,
493,,,,,,,
494,239.126200451716,20.0467438360538,1.816926,1.583256,3.245567,1.0,21.1727
495,239.126200451716,20.0467438360538,1.816926,1.583256,3.245567,1.0,21.1727
496,239.126200451716,20.0467438360538,1.816926,1.583256,3.245567,1.0,21.1727
497,,,,,,,
498,,,,,,,
500,259.458533578992,40.8812761676176,5.331367,7.793889,23.16287,0.0,17.68253
501,200.780258973798,52.6494805675812,2.04859,2.557885,7.05006,0.06191923,19.9889
503,,,,,,,
504,,,,,,,
507,,,,,,,
508,160.671670440972,58.844179154363,9.047592,9.861331,24.69498,0.1443666,15.14047
509,240.965833427158,39.9878022817318,13.34388,15.47357,29.66961,0.1358292,16.9171
512,152.332040556128,14.9909385683294,4.25462,4.385678,6.641281,0.6873084,14.89735
513,152.332040556128,14.9909385683294,4.25462,4.385678,6.641281,0.6873084,14.89735
515,20.2280210115516,4.80429519456986,0.7412173,0.4187964,0.3041804,0.0,19.13899
516,20.2280210115516,4.80429519456986,0.7412173,0.4187964,0.3041804,0.0,19.13899
517,20.2280210115516,4.80429519456986,0.7412173,0.4187964,0.3041804,0.0,19.13899
519,248.333170234001,23.7323151529573,4.536957,5.743026,16.21929,0.09362185,16.7078
520,,,,,,,
521,,,,,,,
522,,,,,,,
523,,,,,,,
525,,,,,,,
526,,,,,,,
527,,,,,,,
530,,,,,,,
531,,,,,,,
533,,,,,,,
534,,,,,,,
535,,,,,,,
536,,,,,,,
537,,,,,,,
539,,,,,,,
540,,,,,,,
541,9.07557869824774,11.393070226165,7.78076,8.359219,23.8262,0.0161961,14.92025
542,,,,,,,
543,,,,,,,
544,230.671509988933,50.9766677686431,2.723653,3.07571,6.369522,0.357522,17.66225
546,,,,,,,
547,,,,,,,
548,,,,,,,
549,,,,,,,
550,254.127147915885,27.9775415209752,6.082753,6.209301,9.789297,0.8802394,13.76997
551,,,,,,,
552,,,,,,,
553,,,,,,,
554,200.378663605716,-2.14943233064582,0.7353342,0.5223377,0.4113539,0.0,22.97682
555,210.816174349528,41.6037689118787,1.824623,1.87113,2.933863,0.2305065,16.44462
559,200.303657805552,40.2657633383887,1.807672,1.507807,1.919457,0.8410299,15.6499
563,196.978381503501,34.0871041563557,5.398914,5.687958,6.992048,0.8204324,13.95886
564,196.978381503501,34.0871041563557,5.398914,5.687958,6.992048,0.8204324,13.95886
565,11.6611911156021,36.3313524617217,9.974651,10.67819,15.93501,1.0,13.99251
567,,,,,,,
568,,,,,,,
569,,,,,,,
570,,,,,,,
571,167.357522504379,29.5692375601624,5.897695,5.978727,6.799388,1.0,13.68038
572,,,,,,,
573,,,,,,,
576,,,,,,,
577,27.4326953301177,32.63216641852,1.48911,0.1463747,0.7933456,0.3981942,21.63724
578,,,,,,,
579,,,,,,,
580,,,,,,,
582,256.028064734892,25.0550729619941,1.574651,0.9967699,1.136444,1.0,17.37177
584,,,,,,,
586,226.511100681308,7.56159051653576,2.293678,2.951608,5.163038,0.5162973,16.10329
587,,,,,,,
588,60.8593117792017,-5.49185564684806,1.670636,1.634013,2.411001,0.5065645,17.25313
589,,,,,,,
590,,,,,,,
591,56.847420033255,0.875487656254738,7.269934,7.302784,13.95394,0.7734906,14.91003
592,,,,,,,
593,,,,,,,
594,1.47318036521892,8.43015837990709,1.014022,1.047196,1.622412,0.3321041,21.09064
595,162.029657035962,0.16678788217454,4.498316,4.350136,13.11294,0.7378995,17.88221
596,132.479334010962,56.0983923145542,3.092798,3.943072,12.32331,0.0,19.5451
597,,,,,,,
598,248.620313014454,76.029727956362,8.622734,9.838861,22.10513,0.6227874,14.4686
599,54.0066259420252,1.10475410193143,4.421534,4.59925,6.725528,1.0,14.19165
602,,,,,,,
603,,,,,,,
604,55.5957096071173,39.2418689750053,0.5022296,0.3360843,0.2360421,0.0,22.32575
605,55.5957096071173,39.2418689750053,0.5022296,0.3360843,0.2360421,0.0,22.32575
607,228.476271232818,4.75715046753609,1.94184,1.575728,2.678908,0.732794,17.7136
609,14.3897921601721,-1.39059204580804,0.6671293,0.4868013,0.3683106,0.0,22.69363
610,14.3897921601721,-1.39059204580804,0.6671293,0.4868013,0.3683106,0.0,22.69363
612,233.094236104782,41.8499411172653,5.190865,7.697713,18.32977,0.05778005,15.94902
613,,,,,,,
614,344.926302872839,-0.0135248230075604,2.424696,2.922915,7.470225,0.0,18.21775
616,14.0684439849014,-1.63132885801581,0.9692512,1.080087,1.369882,0.0,20.78828
617,18.4882563986806,0.371420742677499,2.640547,2.950724,4.676087,0.4347715,15.84211
618,234.778802620569,9.29614878272803,4.126419,3.921805,7.048286,1.0,15.07624
619,,,,,,,
622,241.059877802568,16.6901629045856,4.264235,3.070868,7.94078,0.4928978,16.44112
623,145.805077948921,41.3162791365907,2.025093,1.840757,2.206293,1.0,15.5745
624,204.198290038355,5.14255140331257,5.376694,8.813582,24.16956,0.02656811,17.00448
625,225.651636230546,23.352288396378,0.8399194,0.576875,0.4976425,0.0,20.47066
626,,,,,,,
627,150.806308056342,1.89535006676307,5.070486,4.845424,11.04286,0.2792278,15.70716
628,191.603409125993,11.9495632506167,5.192502,8.845386,19.61639,0.1032211,16.53788
632,155.624438969925,15.096409485818,2.30002,2.245914,4.107289,0.2259661,16.59455
633,154.816305824946,4.76172819383948,1.588969,21.53184,29.66688,1.0,24.12331
634,191.188409189435,9.75853494946157,0.8469086,0.5497456,0.4389016,0.0,20.63796
635,207.454459157287,-3.0801455323858,2.37132,3.044303,6.798828,0.1896778,17.75294
636,,,,,,,
637,24.6494095480022,-4.67991128743966,0.4708102,0.315046,0.2143342,0.0,22.74797
638,341.391969219975,-8.75072769801728,6.252959,8.981273,18.19233,0.3676025,15.21858
639,,,,,,,
641,162.802182432515,19.3633961927772,1.955196,2.048534,3.063141,0.4210668,16.14349
642,,,,,,,
644,,,,,,,
645,,,,,,,
647,48.8004946377661,43.1702112782991,0.5060136,0.4749546,0.6355942,1.0,22.10174
648,234.641060312328,13.349247355976,0.8339202,0.6180724,0.5735134,0.0,22.79251
651,,,,,,,
653,10.4601582623062,-9.30364510486258,0.6925234,0.3790845,0.2835596,0.0,19.00639
654,209.766452166866,33.1382075165385,3.740339,2.597678,4.634792,1.0,14.82843
659,338.347318879813,-1.35748995040618,2.632321,2.350852,3.827652,1.0,16.4594
660,,,,,,,
661,,,,,,,
664,216.825784588471,-1.6761510876109,0.6236123,0.339272,0.231867,0.0,22.69531
665,211.969625841775,9.64127820274359,3.526747,3.522458,4.931727,0.9710315,15.20926
666,184.2685509504,46.6269587934388,2.769396,2.911493,7.938512,0.0,17.3968
667,211.673048573502,30.3184993573569,1.410548,1.181739,1.399481,0.3070251,17.40411
668,340.425199910952,-0.136939294330105,1.359903,1.14328,1.455764,1.0,17.592
669,163.741975611754,14.2716522504753,0.876193,0.9207984,1.099219,0.0,21.76833
670,21.7019111905168,-1.2381237810513,1.734657,2.209539,4.107166,0.0324329,18.22404
671,255.030483419131,23.1330603680195,4.749395,4.292566,4.925358,1.0,18.81864
672,27.952108133365,0.263825110345206,9.248778,8.853933,10.55263,1.0,14.34559
673,27.952108133365,0.263825110345206,9.248778,8.853933,10.55263,1.0,14.34559
674,8.68728930169409,-6.1584741221335,1.935401,1.896306,3.904586,1.0,20.87879
675,,,,,,,
676,,,,,,,
677,,,,,,,
678,,,,,,,
679,,,,,,,
680,,,,,,,
681,353.954403323181,20.7081259943295,0.9503897,0.5903084,0.4100814,0.0,17.81807
687,,,,,,,
688,255.463703304393,79.0326455320737,1.107278,0.7327613,0.5252505,0.0,20.035
689,149.64743966001,0.742781238311246,2.806497,3.144951,5.713417,0.2258237,15.64153
690,52.553704903009,-0.974470845415581,3.119484,3.30598,7.941693,0.06103589,17.18675
691,159.935561415283,15.0346542606428,1.096144,1.13324,1.528741,0.3837092,21.51976
693,343.791803919397,-0.409402776970405,4.387424,2.938895,4.51788,1.0,14.98552
694,115.12355139487,10.9324053246192,0.7108365,0.6266448,0.5997963,0.6295542,21.96748
695,159.868880798353,5.18366395749046,1.419755,1.211812,1.663637,1.0,17.1307
696,,,,,,,
698,169.878480997179,54.4608649862027,5.770971,6.865117,15.35724,0.4377645,15.24714
699,169.878480997179,54.4608649862027,5.770971,6.865117,15.35724,0.4377645,15.24714
700,150.995281419565,49.0387060741943,2.484799,2.070704,3.877996,0.3654868,16.83035
701,163.891071927578,-3.3674969388054,3.724946,3.096208,6.373376,0.5979673,15.98973
702,328.993731691172,-1.0702761550699,1.526724,1.501054,2.345359,0.4134206,17.26211
705,253.706148922767,36.7240181073294,0.6237292,0.2088608,0.139597,1.0,22.42929
707,159.984908953609,58.4149664952122,1.905396,1.971509,3.703283,0.01179977,17.98814
708,148.684485527774,23.1976716907812,2.199774,2.341219,5.116663,0.2459521,18.51052
709,,,,,,,
711,239.793204374969,14.6415271814094,3.272249,4.248692,12.06311,0.0,17.03444
