z,Mstar,VC_kms,Reff_kpc,sigma0_kms
0.8428,1.2973e+09,48.68,3.155,44.08
0.8395,1.1093e+10,97.79,1.829,65.77
0.8437,2.9719e+10,253.89,2.433,24.77
0.8362,9.6612e+09,160.49,4.971,102.30
0.8357,6.0958e+09,137.76,2.958,32.08
0.8347,1.5454e+10,125.07,1.140,76.24
1.0222,1.7101e+10,119.06,2.227,109.43
0.8338,3.7760e+10,203.94,3.472,37.71
0.9635,9.7506e+09,120.03,2.779,27.13
0.8030,1.6945e+10,62.79,1.403,25.31
0.8545,6.3831e+09,115.28,2.580,24.30
0.8577,4.0274e+09,64.95,1.817,37.82
0.8448,7.1290e+09,123.13,5.315,39.66
0.8562,2.5411e+09,116.57,2.469,38.31
0.5798,6.8712e+09,76.55,1.263,63.53
0.8390,4.7977e+09,63.98,1.146,33.40
0.8408,1.5172e+10,79.87,1.832,66.68
0.8399,3.2887e+10,288.11,1.749,39.67
0.9596,4.2563e+10,315.40,1.310,15.67
0.9193,4.4569e+09,139.10,2.003,46.41
1.0366,1.5597e+10,230.11,3.315,59.82
0.8998,1.0116e+10,156.53,1.960,27.42
0.9007,5.7152e+09,144.91,1.230,27.14
0.8825,3.3192e+10,158.99,3.675,37.88
0.9128,9.9319e+09,69.20,3.207,41.40
0.8250,1.9455e+10,118.51,5.936,74.93
0.9623,4.6669e+09,79.07,1.279,76.75
0.8343,3.5078e+09,111.83,2.952,37.66
0.7998,2.4268e+10,126.57,3.441,111.12
0.9617,4.1403e+10,288.16,2.095,15.95
0.8278,4.8869e+09,63.82,1.803,50.44
0.8267,1.6182e+10,156.10,1.801,52.56
0.8277,6.0399e+09,189.09,1.241,30.87
0.8678,1.0593e+10,174.60,1.185,21.12
0.8445,3.4756e+09,89.31,1.609,74.27
0.9859,5.7681e+09,81.98,2.977,43.65
0.9186,4.1023e+09,129.76,3.620,28.42
0.8081,1.4895e+09,57.18,0.803,46.12
0.9580,1.7101e+09,98.75,2.381,33.55
0.9676,3.9177e+09,159.62,4.143,42.67
0.9934,3.9905e+10,340.32,3.449,81.07
0.8414,1.0991e+10,94.06,2.084,30.11
0.8415,1.3093e+10,160.63,3.504,22.74
0.9626,3.2887e+10,186.68,2.776,28.26
0.9196,1.9100e+10,248.40,2.652,20.47
0.9187,2.4492e+10,255.72,3.251,24.26
0.8276,1.2854e+10,146.21,2.387,43.88
0.8021,4.7537e+09,97.78,3.825,63.05
0.8377,7.3288e+09,129.41,3.488,43.51
0.8834,1.7580e+10,221.73,1.924,26.63
0.8402,1.1941e+10,76.21,1.830,53.22
0.9596,7.3288e+09,300.82,1.310,17.15
0.8235,4.7101e+10,131.70,3.928,74.55
0.8886,2.4268e+10,132.91,1.936,30.82
0.9204,2.1332e+10,241.26,2.005,33.49
0.9188,1.9635e+10,192.94,2.650,24.60
0.8907,1.1615e+10,127.71,1.216,39.15
0.8704,1.1941e+10,135.94,1.896,45.03
0.9172,2.8909e+10,252.31,3.819,45.43
0.9006,1.0991e+10,114.86,5.354,67.06
0.9180,4.8421e+10,274.34,3.249,39.98
0.8456,3.7414e+09,56.94,1.842,38.30
0.9634,1.9817e+10,237.83,2.099,16.93
0.9612,3.9905e+09,82.84,3.402,30.12
0.8043,3.8109e+09,130.77,2.320,14.11
0.8393,4.9321e+09,143.77,2.970,24.83
0.8676,5.3092e+10,349.41,4.652,63.58
0.8072,6.0399e+09,79.04,3.181,36.84
0.9733,8.7303e+09,34.92,2.774,23.65
0.9151,1.1195e+10,161.34,3.239,39.57
0.8780,1.1723e+10,193.48,3.107,22.66
0.8700,4.4569e+09,93.30,2.775,54.60
0.8950,7.8168e+09,125.42,3.727,53.03
0.8010,6.3246e+09,169.09,2.626,24.63
0.8022,9.4848e+09,163.47,1.747,39.88
0.8021,9.4848e+09,160.87,1.095,33.30
0.8353,4.4569e+09,88.84,4.376,41.93
0.8969,6.5017e+09,45.24,0.861,41.78
0.8228,7.9622e+09,173.24,2.195,28.41
0.9227,1.7743e+10,363.58,2.010,27.71
0.9589,1.0305e+10,131.12,3.394,21.82
0.8043,6.6839e+09,77.88,5.703,46.72
0.9610,1.1195e+10,257.79,1.312,21.46
