RAJ2000,DEJ2000,Ktmag,cz
176.52693,-56.39111,8.175,1831
186.48178,18.21393,8.151,922
281.82846,45.55064,8.219,2461
150.62094,-31.67741,8.206,2673
201.32727,-21.13416,8.156,1752
220.23495,-0.31823,8.220,1725
214.61380,-43.38826,8.096,1193
338.94263,-26.05025,8.181,1428
341.94791,-22.31210,8.173,3295
45.65661,-22.86716,8.093,1384
67.68935,0.86368,8.209,3793
190.23004,-40.97640,8.307,2585
32.88100,70.77241,8.229,3223
35.50419,33.26607,8.218,3978
197.41936,-7.83341,8.214,1820
54.01647,-35.44121,8.234,1363
166.95212,-46.52607,8.205,1068
346.23605,12.32289,8.162,2381
80.64352,-11.49954,8.252,2743
184.67932,65.89808,8.236,2528
63.11806,27.70187,8.207,4053
348.68277,4.53393,8.327,2689
252.77838,-58.99346,8.224,1564
139.47044,-22.35468,7.882,892
253.47231,-58.77807,8.284,2648
43.61413,41.57961,8.200,5194
165.09978,28.97482,7.994,681
331.47839,-50.11933,8.265,2923
275.57285,-85.40205,8.218,2437
213.97789,-48.11485,8.236,4123
234.90454,59.33195,8.147,2517
217.41827,3.23339,8.241,1676
142.49353,-62.18325,8.262,2915
165.79671,27.97250,8.264,1525
226.78198,1.54428,8.084,2544
196.05476,-5.55162,8.204,1291
49.95098,41.51168,8.068,5264
178.52789,-39.86706,7.999,2960
345.24982,30.14478,8.160,812
29.08735,5.62887,8.276,5561
359.74915,-55.45834,8.268,3321
348.98959,6.68752,8.287,3608
193.65741,46.53115,8.294,891
218.02322,57.92143,8.277,1898
192.88266,-26.45209,8.280,3215
124.69157,-25.36976,8.305,1844
183.91402,13.90151,8.363,-81
230.48567,5.07054,8.082,1480
304.23535,-70.76825,8.256,4555
159.17842,-27.52834,8.074,3864
46.51253,-15.61121,8.310,2664
284.23306,-54.54544,8.298,2740
341.84232,-65.05849,8.374,3189
344.50757,-33.74221,8.374,1657
101.20464,-27.63861,8.219,1892
159.06779,37.32463,8.376,1567
157.25610,-44.65685,8.204,2512
170.26227,53.16943,7.979,1156
55.23690,-22.56448,8.281,1658
272.96347,14.98177,8.349,2282
330.50790,-31.86989,8.308,2557
208.60094,-48.51253,8.323,2752
157.22322,-35.60551,8.278,2769
310.98917,-80.00085,8.287,2721
354.73785,-12.96109,8.266,1800
357.85367,20.11182,8.322,4277
157.96703,-34.85370,8.275,3437
160.88759,-36.41070,8.355,2937
65.86292,75.29557,8.232,2461
134.33546,2.92140,8.299,3894
193.05544,-29.84066,8.394,2833
267.95337,23.07194,8.336,3936
187.57260,12.32854,8.346,1349
324.12027,-54.55732,8.156,830
195.24887,-14.51363,8.300,2673
0.99545,20.75235,8.400,2309
184.87743,14.87769,8.343,1359
53.01423,68.36839,8.173,1679
57.11308,-16.39290,8.322,1394
144.18689,-21.12815,8.283,2268
206.75168,60.97308,8.356,2041
147.81438,-32.75256,8.334,2727
176.69371,-27.92218,8.349,2094
184.40326,29.60801,8.304,869
333.91455,37.29871,8.279,5750
94.09206,-21.37272,8.159,2741
110.33326,-69.00148,8.359,1363
288.46808,-56.30996,8.329,3404
185.89709,16.72226,8.312,950
305.93692,-19.32542,8.307,3234
234.10945,-66.85975,8.249,3510
353.31857,-45.01596,8.272,3081
356.24683,-42.91093,8.319,3010
146.57774,-30.43748,8.319,2393
160.53145,13.74693,8.120,1296
42.33170,8.09264,8.350,3424
192.95015,-10.45473,8.371,1270
39.84861,1.09379,8.366,2694
145.72600,31.84726,8.348,1328
20.91642,33.25613,8.280,4934
109.16273,-35.37344,8.351,2790
218.87370,48.74154,8.386,2160
211.18013,54.89262,8.354,2026
40.93477,-29.00336,8.336,1501
30.06218,31.42939,8.350,5015
191.82291,-2.72749,8.378,1570
