Cluster,RAJ2000,DEJ2000,cz,e_cz,R,Mm
"RX1022",155.45014999999998,38.53397333333333,26178,26,9.3,0
"RX1022",155.28057499999997,38.45890555555555,26201,20,9.0,0
"RX1022",155.34595416666664,38.47614555555555,30400,47,6.1,0
"RX1022",155.3479458333333,38.51674305555555,26720,26,8.4,0
"RX1022",155.31199166666664,38.57642555555555,16534,23,8.8,1
"RX1022",155.4295958333333,38.55567027777777,58302,48,6.0,0
"RX1022",155.36793749999998,38.56843305555555,32799,55,5.8,0
"RX1022",155.39182916666664,38.60624194444444,17189,18,13.1,1
"RX1022",155.8220583333333,38.40591305555555,16635,23,9.3,1
"RX1022",155.80426249999996,38.51097694444444,26173,26,13.1,0
"RX1022",155.67309583333332,38.45166583333333,26510,28,12.4,0
"RX1022",155.58724166666664,38.49945388888889,16772,29,6.5,1
"RX1022",155.66461666666663,38.51243861111111,35405,24,9.3,0
"RX1022",155.6353583333333,38.516172499999996,17328,37,8.4,1
"RX1022",155.65591249999997,38.579184999999995,15584,26,15.8,1
"RX1022",155.73919166666664,38.58416138888888,15356,31,11.4,1
"RX1022",155.80135416666664,38.677942222222214,44641,29,12.5,0
"RX1022",155.83648333333332,38.69079027777777,16876,18,11.8,1
"RX1022",155.54296666666664,38.5178861111111,15913,24,11.9,1
"RX1022",155.54625,38.530470833333325,16785,43,8.7,1
"RX1022",155.60711666666666,38.58245944444444,15639,25,8.0,1
"RX1022",155.52259999999998,38.578309444444436,15803,25,8.4,1
"RX1022",155.4537333333333,38.64668527777777,45529,63,4.8,0
"RX1022",155.464375,38.74394472222222,17175,24,12.8,1
"RX1022",155.6098333333333,38.75006777777777,35363,13,13.7,0
"RX1022",155.49267916666665,38.775842499999996,16867,29,11.4,1
"RX1022",155.5222583333333,38.78079777777777,41466,10,15.4,0
"RX1022",155.21876249999997,38.536313333333325,32881,25,7.6,0
"RX1022",155.25348749999998,38.56994444444444,15509,21,10.5,1
"A1291",173.0968208333333,55.73215138888888,47692,15,11.0,0
"A1291",173.12931249999997,55.741203333333324,72196,28,5.2,0
"A1291",172.954875,55.74043472222221,74594,11,14.3,0
"A1291",173.12645416666663,55.8324636111111,50908,73,3.1,0
"A1291",173.33896249999998,55.73182222222221,34955,22,6.0,0
"A1291",173.36049583333332,55.80101305555555,15956,40,7.0,1
"A1291",173.2113458333333,55.779847222222216,22286,69,3.3,0
"A1291",173.21013749999997,55.841471944444436,26793,18,8.7,0
"A1291",173.32399166666664,55.85960916666666,39622,52,7.0,0
"A1291",173.36850416666664,55.90178972222221,75461,25,5.8,0
"A1291",173.31158749999997,55.89804499999999,15506,40,6.0,1
"A1291",173.36091666666664,55.95143305555555,15049,9,11.6,1
"A1291",173.41327916666665,55.9434711111111,15927,32,7.8,1
"A1291",172.43545833333332,55.71032166666666,70399,37,8.3,0
"A1291",172.60449583333332,55.77117666666666,9425,12,10.6,0
"A1291",172.84530833333332,55.76838999999999,16065,7,16.0,1
"A1291",172.70654999999996,55.74387027777777,43254,150,3.0,0
"A1291",172.76152499999998,55.79626333333333,17564,36,7.4,0
