Cluster,RAJ2000,DEJ2000,cz,e_cz,R,Mm
"A1291",172.8725833333333,55.82709166666666,56882,42,8.7,0
"A1291",172.98152083333332,55.82514416666666,68263,73,4.9,0
"A1291",172.9479833333333,55.82891888888888,17201,39,6.4,0
"A1291",173.12201249999998,55.89591805555555,17765,58,3.5,0
"A1291",173.12454583333331,55.92116888888888,14965,102,2.3,1
"A1291",173.0478083333333,55.91436666666666,17432,29,8.6,0
"A1291",173.0786458333333,55.92813555555555,6306,7,17.6,0
"A1291",172.79099166666666,55.84031166666666,15407,24,11.1,1
"A1291",172.8359458333333,55.845363611111104,16801,36,11.3,0
"A1291",172.76511666666664,55.87281444444444,16874,35,3.9,0
"A1291",172.74896666666663,55.87107083333333,16849,8,14.4,0
"A1291",172.8198708333333,55.936791111111106,17071,65,4.2,0
"A1291",173.01131666666663,55.92025249999999,20531,85,3.1,0
"A1291",173.09919166666666,55.96777777777777,15258,37,6.9,1
"A1291",173.04322499999998,55.95958916666666,5419,11,8.8,0
"A1291",173.1185875,55.99685333333333,16636,30,9.4,0
"A1291",172.9977875,55.97659888888888,27543,16,9.3,0
"A1291",173.05236666666664,55.994613611111106,17576,35,11.3,0
"A1291",173.0815333333333,56.042087499999994,90807,42,4.2,0
"A1291",173.10347083333332,56.048291944444436,16488,38,3.8,1
"A1291",172.63901666666663,55.87967277777777,57018,39,4.0,0
"A1291",172.49234166666665,55.938107222222214,68010,11,17.4,0
"A1291",172.53181666666663,55.96685972222222,14769,7,15.5,1
"A1291",172.52901249999996,55.96647749999999,13639,16,6.7,0
"A1291",172.5936583333333,56.004841111111105,15230,34,3.8,1
"A1291",172.82037916666664,55.98665333333332,15864,25,5.7,1
"A1291",172.6550333333333,55.93382194444444,15029,24,12.6,1
"A1291",173.04954999999998,56.04789333333333,17451,40,11.2,0
"A1291",172.88527499999998,56.06730944444444,20151,48,5.3,0
"A1291",172.81636666666665,56.05955888888888,56519,42,5.9,0
"A1291",172.78993749999998,56.06230972222222,35054,41,6.2,0
"A1291",172.64434166666663,56.04085777777777,15483,29,10.1,1
"A1291",172.78508749999997,56.09317027777777,58797,59,5.2,0
"A1291",172.79637499999998,56.13144472222221,17738,66,3.7,0
"A1291",172.82535,56.13696694444444,15196,27,9.9,1
"A1291",173.30652499999997,55.979009999999995,15550,38,6.5,1
"A1291",173.3726583333333,55.99239638888888,15183,6,19.5,1
"A1291",173.17538749999997,55.97234499999999,15760,35,6.3,1
"A1291",173.1844583333333,55.97598166666666,45859,64,4.7,0
"A1291",173.20957916666663,55.99928499999999,16672,49,7.5,0
"A1291",173.23585416666666,56.00213805555555,15359,9,12.4,1
"A1291",173.4011083333333,56.00867972222221,18223,55,5.2,0
"A1291",173.27029999999996,56.044614444444434,71079,76,4.7,0
"A1291",173.27546666666663,56.103333055555545,22150,63,4.2,0
"A1291",173.2812083333333,56.104454722222215,15361,45,5.8,1
"A1291",173.3553333333333,56.11668249999999,17279,36,7.0,0
"A1291",173.36936249999997,56.120660833333325,22289,44,4.7,0
"A1291",173.20681249999998,56.1065686111111,17450,36,3.0,0
"A1291",173.19396666666665,56.13743166666666,22312,45,4.8,0
"A1291",173.26859166666665,56.174788611111104,15002,29,5.9,1
"A1291",173.33047916666663,56.1825661111111,15152,31,10.4,1
"A1291",173.18416666666664,56.1779386111111,21864,38,10.6,0
"A1291",173.36971249999996,56.24578388888888,14730,12,8.9,1
"A1291",173.1265333333333,56.21863333333332,15186,83,4.2,1
"A1291",173.18239999999997,56.231111666666656,12510,146,2.9,0
"A1291",173.10589999999996,56.22086777777777,22079,53,5.1,0
"A1291",173.17676666666665,56.25122583333332,29276,51,7.2,0
"A1291",172.42849166666664,55.98692305555555,14610,20,11.2,1
"A1291",172.48084999999998,56.016233055555546,20215,70,3.4,0
"A1291",172.59360416666664,56.060490833333326,20739,27,4.8,0
"A1291",172.46439166666664,56.05077805555555,68349,43,7.6,0
"A1291",172.79231666666664,56.163169999999994,56405,61,3.8,0
"A1291",172.88187916666664,56.19989527777777,18076,95,3.3,0
"A1291",172.85926249999997,56.20656222222222,18036,54,3.7,0
"A1291",172.93072916666665,56.24163666666666,14404,58,5.0,1
"A1291",172.9985833333333,56.2432736111111,27980,29,9.0,0
"A1291",172.8997208333333,56.262044444444435,14750,26,2.8,1
"MKW3s",230.18020416666664,7.513948888888888,22535,35,7.5,0
"MKW3s",230.70642499999997,7.438419166666666,23196,33,8.0,0
"MKW3s",230.73942916666664,7.479797777777777,38875,45,7.3,0
"MKW3s",230.65676249999996,7.488875555555555,37745,38,6.0,0
"MKW3s",230.45082916666664,7.4824416666666655,13427,26,10.1,1
"MKW3s",230.4901958333333,7.51296611111111,12792,30,9.1,1
"MKW3s",230.51950416666662,7.524306666666666,13611,65,3.0,1
"MKW3s",230.5194333333333,7.540050555555554,13045,48,7.0,1
"MKW3s",230.42501249999998,7.479355277777777,42434,38,7.5,0
"MKW3s",230.31724999999997,7.4661841666666655,12916,42,5.3,1
"MKW3s",230.44911249999996,7.5229302777777765,14256,17,17.3,1
"MKW3s",230.39355416666663,7.537388055555555,53828,34,5.4,0
"MKW3s",230.4815708333333,7.592302222222221,18711,166,2.6,0
"MKW3s",230.63379999999998,7.600019166666666,13891,28,9.6,1
