plateifu,mangaid,plate,ifudsgn,objra,objdec,z,snr_med,sb_1re,sigma_e,vsig_glob,ba,sersic_n,th50_arcsec,re_kpc,log_mstar,log_mdyn,gbar_canon,y_canon,delta_canon,delta_canon_imfA,delta_canon_imfB,gbar_alt,y_alt,delta_alt,delta_alt_imfA,delta_alt_imfB,cut_primary,cut_variant
8593-6103,1-631803,8593,6103,226.166,53.8231,0.0379096,12.0024,0.900199,311.349,0.232742,0.769811,6,5.84425,4.39406,11.1245,11.6947,4.80939e-10,5.13824,0.531514,0.354113,0.426034,4.80939e-10,4.2561,0.524303,0.349149,0.420249,1,1
8443-6101,1-592128,8443,6101,207.629,24.9766,0.0296739,11.9826,0.787108,204.285,0.291723,0.914444,6,5.44119,3.23399,10.8212,11.1955,4.41615e-10,4.71811,0.332538,0.156118,0.27852,4.41615e-10,3.9081,0.324807,0.15077,0.271603,1,1
8144-3702,1-121075,8144,3702,114.695,29.8913,0.0978535,11.982,0.56183,153.801,0.251858,0.96763,6,2.65939,4.81126,11.1132,11.1215,3.90804e-10,4.17526,-0.0383363,-0.213244,-0.0581671,3.90804e-10,3.45844,-0.0468632,-0.219186,-0.0663588,1,1
9045-9102,1-314676,9045,9102,227.537,31.8878,0.0304903,11.9739,0.731469,169.791,0.173152,0.763551,4.65335,7.02161,4.28393,10.9468,11.157,3.36031e-10,3.59008,0.15684,-0.0160207,0.125721,3.36031e-10,2.97373,0.14725,-0.0227707,0.116706,1,1
9001-6104,1-149323,9001,6104,167.945,52.1174,0.0262639,11.9623,0.521492,81.164,0.544735,0.635879,5.28276,6.29069,3.32282,10.3433,10.4056,1.3918e-10,1.48697,-0.0494533,-0.206357,-0.000944165,1.3918e-10,1.23168,-0.0668358,-0.219565,-0.0197508,0,1
9026-9101,1-94784,9026,9101,249.318,44.4182,0.0314197,11.9476,0.690364,112.17,0.592454,0.767518,3.99807,7.48254,4.69906,10.9373,10.8371,2.73243e-10,2.91927,-0.164183,-0.333907,-0.147456,2.73243e-10,2.41808,-0.175373,-0.341904,-0.159009,0,1
8937-3704,1-201334,8937,3704,117.256,28.9594,0.0275678,11.9324,0.540011,125.946,0.315722,0.810609,6,3.87275,2.14383,10.2851,10.5969,2.9241e-10,3.12404,0.251473,0.0806785,0.255099,2.9241e-10,2.5877,0.240826,0.0731083,0.244376,1,1
10494-1901,1-379920,10494,1901,123.715,55.0938,0.0326377,11.9265,0.34289,73.4368,0.54923,0.785188,2.11753,1.71595,1.11776,9.56393,9.84549,2.04411e-10,2.18388,0.199697,0.0350244,0.26172,2.04411e-10,1.80895,0.186003,0.0249958,0.246424,0,1
11744-3701,1-556947,11744,3701,121.129,15.4838,0.0448161,11.9258,0.650455,219.981,0.274535,0.914434,3.54356,5.20208,4.58592,11.1004,11.4115,4.17637e-10,4.46194,0.267222,0.091477,0.204573,4.17637e-10,3.69591,0.259135,0.0858646,0.19746,1,1
9502-3702,1-385131,9502,3702,129.174,25.582,0.0854536,11.9235,0.525117,174.029,0.580741,0.945799,2.61791,2.53625,4.06476,11.0968,11.1556,5.27186e-10,5.63233,0.0233449,-0.155047,-0.0118978,5.27186e-10,4.66536,0.0166628,-0.159624,-0.0181052,0,1
9866-3704,1-272265,9866,3704,243.73,31.8163,0.0590298,11.92,0.548142,161.589,0.529582,0.866953,6,2.80129,3.19847,10.7833,10.9871,4.1374e-10,4.4203,0.159456,-0.0161735,0.133661,4.1374e-10,3.66142,0.151307,-0.0218315,0.12593,0,1
11749-1902,1-300607,11749,1902,139.735,32.513,0.026679,11.8881,0.463713,102.598,0.154187,0.869936,4.45062,2.23966,1.20111,9.6762,10.1672,2.29249e-10,2.44924,0.416634,0.249875,0.44289,2.29249e-10,2.02875,0.403962,0.240689,0.42959,1,1
9499-6103,1-218047,9499,6103,120.743,25.5245,0.0732575,11.8702,0.459152,217.73,0.469922,0.672955,2.8381,3.2812,4.57251,10.9881,11.4013,3.24413e-10,3.46595,0.35813,0.185775,0.298021,3.24413e-10,2.87091,0.348279,0.178825,0.28928,0,1
8465-1901,1-234115,8465,1901,197.446,48.8996,0.0288883,11.8657,0.783011,185.623,0.266313,0.866448,6,3.46469,2.00662,10.367,10.905,4.03031e-10,4.30589,0.492702,0.317401,0.450483,4.03031e-10,3.56665,0.484381,0.311614,0.442848,1,1
8724-12703,1-48053,8724,12703,132.595,55.3787,0.0307551,11.8564,0.703441,269.401,0.139839,0.670552,5.3363,8.26709,5.086,11.1055,11.6325,3.43582e-10,3.67075,0.474665,0.30149,0.389054,3.43582e-10,3.04055,0.465236,0.294864,0.381117,1,1
8138-3703,1-339132,8138,3703,117.95,46.052,0.0536385,11.8327,0.483858,227.462,0.165189,0.842586,6,4.49287,4.6911,11.0886,11.4504,3.88445e-10,4.15005,0.314922,0.140093,0.248647,3.88445e-10,3.43756,0.306355,0.13412,0.24116,1,1
