name,z,sigma,sigma_err,logMstar,logMstar_err,kinematic_type,source_arXiv,construction
COS-30,6.84,166.82,5.5,9.14,0.44,rotation,2304.00036,"sigma0=68 (+/-13.5), V=263.8: sigma_eff=sqrt(sigma0^2+V^2/3)"
SPT0311-58 L3,6.88632,36.0,7.0,9.17,0.105,unclear,2312.00899,integrated width (rotation included)
SPT0311-58 L2,6.89256,64.0,12.0,8.708,0.06,unclear,2312.00899,integrated width (rotation included)
SPT0311-58 L1,6.89941,66.0,2.0,8.544,0.05,unclear,2312.00899,integrated width (rotation included)
SPT0311-58 C3,6.90638,106.0,15.0,9.533,0.123,unclear,2312.00899,integrated width (rotation included)
SPT0311-58 L5,6.9094,36.0,3.0,9.068,0.067,unclear,2312.00899,integrated width (rotation included)
SPT0311-58 L6,6.9183,45.0,10.0,8.748,0.095,unclear,2312.00899,integrated width (rotation included)
SPT0311-58 C1,6.92655,99.0,8.0,9.204,0.063,unclear,2312.00899,integrated width (rotation included)
GO1871-70,7.0302,41.3,8.0,8.85,0.41,unresolved (integrated),2501.17145,integrated width (rotation included)
UVISTA-Z-001,7.057,126.73,13.28,9.58,0.22,rotation,2304.00036,"sigma0=51 (+/-33), V=200.9: sigma_eff=sqrt(sigma0^2+V^2/3)"
UVISTA-Y-004,7.077,93.98,14.93,9.9,0.295,rotation,2304.00036,"sigma0=61 (+/-23), V=123.8: sigma_eff=sqrt(sigma0^2+V^2/3)"
J1120+0641 companion (Region 2),7.0804,104.0,49.0,9.431,0.081,merger,2410.11035,integrated width (rotation included)
GO1871-1032,7.0889,37.3,12.1,9.07,0.24,unresolved (integrated),2501.17145,integrated width (rotation included)
GO1871-40,7.0948,60.6,5.9,8.47,0.53,unresolved (integrated),2501.17145,integrated width (rotation included)
JADES-NS-20086025,7.2627,90.14,1.94,8.85,0.18,rotation,2308.09742,"sigma0=25 (+/-7), V=150.0: sigma_eff=sqrt(sigma0^2+V^2/3)"
UVISTA-Y-003,7.293,174.03,9.05,10.1,0.165,rotation,2304.00036,"sigma0=63 (+/-25), V=281.0: sigma_eff=sqrt(sigma0^2+V^2/3)"
REBELS-25,7.3065,212.16,1.4,9.903,0.151,rotation,2405.06025,"sigma0=33 (+/-9), V=363.0: sigma_eff=sqrt(sigma0^2+V^2/3)"
SUPER8,7.351,100.45,56.36,9.69,0.72,rotation,2304.00036,"sigma0=74 (+/-76.5), V=117.7: sigma_eff=sqrt(sigma0^2+V^2/3)"
UVISTA-Y-879,7.357,170.64,29.29,9.0,0.69,rotation,2304.00036,"sigma0=119 (+/-42), V=211.8: sigma_eff=sqrt(sigma0^2+V^2/3)"
JADES-NS-00047100,7.43173,88.77,3.2,8.53,0.11,rotation,2308.09742,"sigma0=71 (+/-4), V=92.3: sigma_eff=sqrt(sigma0^2+V^2/3)"
GO1871-12,7.502,67.3,2.8,8.31,0.09,unresolved (integrated),2501.17145,integrated width (rotation included)
GO1871-10,7.599,65.2,5.3,7.96,0.39,unresolved (integrated),2501.17145,integrated width (rotation included)
GO1871-11,7.61,60.9,12.9,9.07,0.31,unresolved (integrated),2501.17145,integrated width (rotation included)
UVISTA-Y-001,7.66,94.58,12.11,9.7,0.645,rotation,2304.00036,"sigma0=79 (+/-14.5), V=90.1: sigma_eff=sqrt(sigma0^2+V^2/3)"
MACS0416-Y3 (MAGNIF),8.343,54.45,20.57,8.6,0.1,rotation,2310.09327,"sigma0=40 (+/-28), V=64.0: sigma_eff=sqrt(sigma0^2+V^2/3)"
"Gz9p3 (MIRI MRS Halpha, integrated)",9.313,58.6,20.8,9.204,0.122,merger,2604.22460,integrated width (rotation included)
MACS0647-JD1 (full aperture),10.17,96.8,8.1,8.38,0.21,merger,2603.00232,integrated width (rotation included)
GN-z11,10.603,174.32,13.05,9.1,0.35,rotation,2404.16963,"sigma0=91 (+/-25), V=257.5: sigma_eff=sqrt(sigma0^2+V^2/3)"
