# FIREWALL: at N~237 the achieved sensitivity at AQUAL amplitude is ~1-1.5 sigma (n=16 gave 0.3 sigma; sqrt(237/16)=3.85x). NEITHER pre-registered kill condition (3-sigma AQUAL-vs-BranchB, N~1157 canonical a0=9.36e-11 / N~1424 alt a0=1.13e-10) CAN TRIGGER on this sample. Input vectors only, not a verdict.
# SIGN TRAP: pre-registered A_i = 2(v_rec - v_appr)/(v_rec + v_appr) (RECEDING side), psi from the RECEDING-side kinematic major axis; perside_extractor.py's pilot printout used the OPPOSITE ordering -- the firing lane must convert and hand-verify on a raw mom1 map.
# amplitudes are OUR OWN scale; +0.100 dex global offset to the Chae Table-3 scale REPORTED NOT APPLIED. unit vector / pointing = maxclu (PRIMARY) bracket. usable = cone68<30 deg AND |b|>=5 (2M++ ZoA cloned fill). readers: skip lines starting with #.
name,field,ra_deg,dec_deg,cz_bary_kms,cz_cmb_kms,D_mpc,gal_b_deg,hr_only_cz,ux_icrs,uy_icrs,uz_icrs,usgx,usgy,usgz,point_ra_deg,point_dec_deg,angle_noclu_maxclu_deg,g_noclu_ms2,g_maxclu_ms2,eN_noclu_chae12,eN_maxclu_chae12,eN_noclu_can936,eN_maxclu_can936,eN_noclu_alt113,eN_maxclu_alt113,dom_name,dom_kind,dom_share,attractor,angle_to_attractor_deg,sep_attr_mpc,cone68_deg,cone90_deg,n_real,zoa_flag,usable
J132529-201001,NGC 5044,201.37083,-20.16694,8070.5,8373.5,114.71,41.99,no,0.861107,0.249887,0.442778,0.789851,-0.607614,0.083313,16.182,26.281,2.16,3.3012e-14,3.2100e-13,2.7510e-04,2.6750e-03,3.5270e-04,3.4295e-03,2.9215e-04,2.8407e-03,13244124-1949444,gal2mpp,0.316,NGC 5044 group,7.30,79.13,17.09,23.57,200,clear,yes
J132542-164457,NGC 5044,201.42500,-16.74917,5403.2,5709.3,78.21,45.34,no,0.980489,0.147794,0.129606,0.529855,-0.839368,0.121307,8.572,7.447,1.13,2.2841e-14,1.9621e-13,1.9034e-04,1.6351e-03,2.4403e-04,2.0963e-03,2.0213e-04,1.7364e-03,13272927-1639226,gal2mpp,0.269,NGC 5044 group,17.51,42.54,18.55,28.26,200,clear,yes
J132608-163111,NGC 5044,201.53333,-16.51972,6901.2,7207.1,98.73,45.55,no,0.354579,0.933361,-0.055771,0.403516,-0.431788,-0.806681,69.198,-3.197,6.45,3.6999e-14,3.7531e-13,3.0832e-04,3.1276e-03,3.9529e-04,4.0098e-03,3.2742e-04,3.3214e-03,13213858-1616444,gal2mpp,0.204,NGC 5044 group,49.68,63.06,31.98,50.34,200,clear,no
J132635-221419,NGC 5044,201.64583,-22.23861,1441.1,1740.7,23.84,39.91,no,-0.702559,0.425162,0.570656,0.373500,0.835112,-0.403838,148.819,34.796,3.29,2.9727e-14,2.4590e-13,2.4772e-04,2.0492e-03,3.1760e-04,2.6272e-03,2.6307e-04,2.1761e-03,Virgo,cluster,0.596,NGC 5044 group,58.02,12.32,26.88,34.42,200,clear,yes
J132947-175747,NGC 5044,202.44583,-17.96306,1498.6,1800.2,24.66,43.96,no,-0.407044,0.778711,0.477414,0.524646,0.495820,-0.692033,117.597,28.517,3.03,2.6963e-14,2.2857e-13,2.2469e-04,1.9048e-03,2.8807e-04,2.4420e-03,2.3861e-04,2.0227e-03,Virgo,cluster,0.659,NGC 5044 group,82.09,11.24,44.33,54.84,200,clear,no
J133010-240841,NGC 5044,202.54167,-24.14472,4928.0,5222.0,71.53,37.88,no,0.991459,0.007562,0.130199,0.486610,-0.835545,0.255100,0.437,7.481,0.40,5.4665e-14,4.7923e-13,4.5554e-04,3.9936e-03,5.8403e-04,5.1200e-03,4.8376e-04,4.2410e-03,13325338-2412258,gal2mpp,0.371,NGC 5044 group,34.31,36.58,16.13,21.62,200,clear,yes
J133017-214446,NGC 5044,202.57083,-21.74611,7321.1,7618.2,104.36,40.23,no,0.649324,-0.743638,0.159313,0.126968,-0.443804,0.887084,311.127,9.167,10.70,2.3508e-14,2.0956e-13,1.9590e-04,1.7463e-03,2.5116e-04,2.2389e-03,2.0804e-04,1.8545e-03,13305845-2150511,gal2mpp,1.279,NGC 5044 group,71.24,68.97,64.26,71.85,200,clear,no
J133019-220858,NGC 5044,202.57917,-22.14944,5496.4,5793.0,79.36,39.83,no,0.622361,0.012861,0.782625,0.912314,-0.224733,0.342313,1.184,51.502,3.55,2.5650e-14,2.2462e-13,2.1375e-04,1.8718e-03,2.7404e-04,2.3997e-03,2.2699e-04,1.9878e-03,RXCJ1407.4-2700,cluster,0.290,NGC 5044 group,30.96,44.08,26.95,34.75,200,clear,yes
J133041-233009,NGC 5044,202.67083,-23.50250,12896.5,13191.0,180.70,38.49,no,0.390591,0.313204,-0.865645,-0.492690,-0.752034,-0.437837,38.725,-59.956,5.38,7.0105e-14,6.2843e-13,5.8421e-04,5.2369e-03,7.4899e-04,6.7140e-03,6.2040e-04,5.5613e-03,RXCJ1326.9-2710,cluster,0.603,NGC 5044 group,86.08,145.40,12.90,23.81,200,clear,yes
J133058-215044,NGC 5044,202.74167,-21.84556,7341.7,7638.2,104.63,40.10,no,0.293598,0.288113,0.911477,0.994038,0.099502,0.044581,44.460,65.710,9.31,2.7437e-14,2.5371e-13,2.2864e-04,2.1143e-03,2.9313e-04,2.7106e-03,2.4281e-04,2.2452e-03,13304175-2139479,gal2mpp,0.779,NGC 5044 group,42.95,69.26,41.82,47.61,200,clear,no
J133103-150604,NGC 5044,202.76250,-15.10111,4233.1,4535.7,62.13,46.69,no,0.461335,0.872312,-0.161992,0.331161,-0.567391,-0.753923,62.127,-9.323,0.30,3.1546e-14,2.6991e-13,2.6288e-04,2.2493e-03,3.3703e-04,2.8837e-03,2.7917e-04,2.3886e-03,RXCJ1257.1-1339,cluster,0.197,NGC 5044 group,40.77,26.61,8.48,12.63,200,clear,yes
J133103-160750,NGC 5044,202.76250,-16.13056,5853.7,6155.6,84.32,45.69,no,0.982340,0.183662,-0.035720,0.400301,-0.915354,0.043430,10.590,-2.047,3.16,1.4837e-14,1.2051e-13,1.2364e-04,1.0042e-03,1.5852e-04,1.2875e-03,1.3130e-04,1.0664e-03,13331392-1607166,gal2mpp,1.174,NGC 5044 group,23.30,48.73,29.24,46.61,200,clear,yes
J133115-250859,NGC 5044,202.81250,-25.14972,7970.5,8262.1,113.18,36.85,no,0.913233,0.382788,0.139570,0.593437,-0.797173,-0.111119,22.741,8.023,3.94,5.1849e-14,5.4021e-13,4.3208e-04,4.5018e-03,5.5394e-04,5.7715e-03,4.5884e-04,4.7806e-03,13304907-2520009,gal2mpp,0.507,NGC 5044 group,21.17,78.16,37.46,62.80,200,clear,no
J133138-232047,NGC 5044,202.90833,-23.34639,7509.9,7803.8,106.90,38.60,no,0.826532,-0.420406,-0.374306,-0.156154,-0.862743,0.480927,333.040,-21.981,7.85,3.9426e-14,3.9805e-13,3.2855e-04,3.3171e-03,4.2122e-04,4.2527e-03,3.4890e-04,3.5225e-03,13324960-2338413,gal2mpp,0.873,NGC 5044 group,70.08,71.68,55.54,61.66,200,clear,no
J133208-225710,NGC 5044,203.03333,-22.95278,5051.3,5345.3,73.22,38.96,no,0.934943,0.336161,0.113481,0.563177,-0.823399,-0.069616,19.776,6.516,0.90,3.2043e-14,2.7342e-13,2.6702e-04,2.2785e-03,3.4234e-04,2.9211e-03,2.8356e-04,2.4196e-03,RXCJ1349.3-3018,cluster,0.172,NGC 5044 group,23.58,38.11,10.64,18.58,200,clear,yes
J133209-245132,NGC 5044,203.03750,-24.85889,7789.6,8080.9,110.70,37.09,no,0.948849,0.003243,-0.315713,0.084833,-0.988054,0.128656,0.196,-18.404,12.57,2.3799e-14,2.2309e-13,1.9832e-04,1.8591e-03,2.5426e-04,2.3834e-03,2.1061e-04,1.9742e-03,13311382-2524096,gal2mpp,0.657,NGC 5044 group,53.03,75.66,48.83,54.38,200,clear,no
J133214-210542,NGC 5044,203.05833,-21.09500,5800.7,6096.9,83.52,40.78,no,0.877875,0.318517,0.357607,0.746159,-0.665767,-0.000082,19.942,20.953,2.45,2.9170e-14,2.6099e-13,2.4309e-04,2.1749e-03,3.1165e-04,2.7884e-03,2.5814e-04,2.3097e-03,RXCJ1407.4-2700,cluster,0.310,NGC 5044 group,6.90,48.15,29.50,66.78,200,clear,yes
J133314-160715,NGC 5044,203.30833,-16.12083,6122.4,6422.4,87.98,45.58,no,0.833689,0.504385,0.224853,0.678619,-0.700789,-0.219933,31.174,12.994,3.91,1.8759e-14,1.6161e-13,1.5632e-04,1.3468e-03,2.0042e-04,1.7266e-03,1.6601e-04,1.4302e-03,RXCJ1407.4-2700,cluster,0.359,NGC 5044 group,5.50,52.42,11.95,22.16,200,clear,yes
J133329-211151,NGC 5044,203.37083,-21.19750,7107.9,7403.0,101.41,40.61,no,0.678298,0.597970,0.427017,0.826532,-0.483472,-0.288269,41.399,25.278,7.48,2.9605e-14,2.7088e-13,2.4670e-04,2.2574e-03,3.1629e-04,2.8941e-03,2.6199e-04,2.3972e-03,RXCJ1407.4-2700,cluster,0.332,NGC 5044 group,14.15,66.03,18.74,25.29,200,clear,yes
J133348-244525,NGC 5044,203.45000,-24.75694,4646.7,4936.8,67.63,37.12,no,0.932919,0.214921,-0.288914,0.174215,-0.982516,-0.065663,12.973,-16.793,0.85,5.0540e-14,4.2964e-13,4.2117e-04,3.5803e-03,5.3996e-04,4.5902e-03,4.4726e-04,3.8021e-03,RXCJ1349.3-3018,cluster,0.281,NGC 5044 group,52.78,32.90,12.28,28.03,200,clear,yes
J133439-234044,NGC 5044,203.66250,-23.67889,2599.8,2890.7,39.60,38.13,no,0.344338,0.936562,-0.065440,0.392435,-0.427040,-0.814636,69.813,-3.752,0.92,4.3838e-14,3.6759e-13,3.6532e-04,3.0633e-03,4.6836e-04,3.9273e-03,3.8795e-04,3.2531e-03,RXCJ1315.3-1623,cluster,0.767,NGC 5044 group,62.56,6.83,43.30,62.37,200,clear,no
J133440-234722,NGC 5044,203.66667,-23.78944,7799.7,8090.4,110.83,38.02,no,0.943597,0.324649,0.065028,0.520731,-0.850847,-0.069989,18.986,3.728,6.33,3.1349e-14,2.9525e-13,2.6125e-04,2.4604e-03,3.3493e-04,3.1544e-03,2.7743e-04,2.6129e-03,RXCJ1407.4-2700,cluster,0.206,NGC 5044 group,24.46,75.70,22.82,43.79,200,clear,yes
J133541-240428,NGC 5044,203.92083,-24.07444,2544.2,2833.7,38.82,37.70,no,-0.168896,0.980927,0.096214,0.354434,0.099076,-0.929817,99.769,5.521,1.06,4.1288e-14,3.4284e-13,3.4407e-04,2.8570e-03,4.4111e-04,3.6629e-03,3.6538e-04,3.0340e-03,RXCJ1315.3-1623,cluster,0.872,NGC 5044 group,55.10,6.63,32.82,43.38,200,clear,no
J133610-234710,NGC 5044,204.04167,-23.78611,11366.7,11656.1,159.67,37.95,no,0.709558,0.089590,-0.698928,-0.305715,-0.945677,-0.110606,7.196,-44.341,5.79,3.7601e-14,3.7557e-13,3.1334e-04,3.1297e-03,4.0172e-04,4.0125e-03,3.3275e-04,3.3236e-03,RXCJ1347.4-3250,cluster,0.515,NGC 5044 group,72.21,124.49,13.17,23.16,200,clear,yes
J133741-150605,NGC 5044,204.42083,-15.10139,7993.2,8289.8,113.56,46.30,no,0.952223,0.267072,0.148133,0.575938,-0.817451,0.008323,15.667,8.519,2.95,2.9642e-14,2.8561e-13,2.4701e-04,2.3801e-03,3.1668e-04,3.0514e-03,2.6232e-04,2.5275e-03,RXCJ1347.4-3250,cluster,0.118,NGC 5044 group,12.54,78.07,4.77,6.74,200,clear,yes
J133756-240727,NGC 5044,204.48333,-24.12417,9130.3,9417.7,129.01,37.53,no,0.717186,0.384445,0.581245,0.901154,-0.431835,-0.037956,28.193,35.538,2.48,4.1176e-14,4.8159e-13,3.4313e-04,4.0133e-03,4.3992e-04,5.1452e-03,3.6439e-04,4.2619e-03,13374997-2359412,gal2mpp,0.926,NGC 5044 group,8.62,93.94,54.18,128.35,200,clear,no
J133801-225524,NGC 5044,204.50417,-22.92333,6972.9,7261.9,99.48,38.70,no,0.943086,0.049090,0.328907,0.653907,-0.710862,0.258999,2.980,19.202,2.77,3.6791e-14,3.2079e-13,3.0659e-04,2.6732e-03,3.9307e-04,3.4272e-03,3.2559e-04,2.8388e-03,RXCJ1407.4-2700,cluster,0.451,NGC 5044 group,24.01,64.35,11.90,18.56,200,clear,yes
J133802-175254,NGC 5044,204.50833,-17.88167,1360.3,1654.6,22.67,43.59,no,-0.479909,0.696045,0.534050,0.517915,0.593474,-0.616079,124.585,32.279,2.60,3.2114e-14,2.6948e-13,2.6761e-04,2.2457e-03,3.4309e-04,2.8790e-03,2.8419e-04,2.3848e-03,Virgo,cluster,0.682,NGC 5044 group,77.02,13.36,25.04,37.62,200,clear,yes
J133811-204047,NGC 5044,204.54583,-20.67972,12917.6,13209.1,180.95,40.87,no,0.614727,0.678157,-0.402758,0.114897,-0.789837,-0.602459,47.809,-23.751,7.34,5.0357e-14,5.4456e-13,4.1964e-04,4.5380e-03,5.3800e-04,5.8179e-03,4.4564e-04,4.8191e-03,RXCJ1326.9-2710,cluster,0.253,NGC 5044 group,50.17,145.54,8.77,11.82,200,clear,yes
J133949-220132,NGC 5044,204.95417,-22.02556,5835.3,6123.9,83.89,39.47,no,0.969857,0.238127,0.051708,0.489564,-0.871865,0.013316,13.795,2.964,2.52,2.6869e-14,2.4176e-13,2.2391e-04,2.0146e-03,2.8706e-04,2.5829e-03,2.3778e-04,2.1394e-03,RXCJ1407.4-2700,cluster,0.449,NGC 5044 group,27.65,48.77,16.55,27.06,200,clear,yes
J134019-235122,NGC 5044,205.07917,-23.85611,6500.9,6786.7,92.97,37.67,no,0.919131,-0.392649,-0.032022,0.183054,-0.801817,0.568841,336.868,-1.835,1.75,3.7126e-14,3.1257e-13,3.0939e-04,2.6048e-03,3.9665e-04,3.3395e-03,3.2855e-04,2.7661e-03,RXCJ1407.4-2700,cluster,0.717,NGC 5044 group,58.54,58.03,15.53,23.98,200,clear,yes
J134501-155202,NGC 5044,206.25417,-15.86722,8873.3,9162.6,125.51,45.08,no,0.943227,0.262489,-0.203527,0.267912,-0.959716,-0.084663,15.551,-11.743,4.59,3.8893e-14,4.2912e-13,3.2411e-04,3.5760e-03,4.1552e-04,4.5846e-03,3.4418e-04,3.7975e-03,13451735-1607051,gal2mpp,0.467,NGC 5044 group,30.48,90.17,16.77,24.36,200,clear,yes
J163512-580438,Norma,248.80000,-58.07722,2759.0,2827.8,38.74,-7.09,no,-0.863871,0.358669,-0.353670,-0.506352,0.590050,-0.628847,157.452,-20.712,2.94,2.4075e-14,2.0419e-13,2.0062e-04,1.7015e-03,2.5721e-04,2.1815e-03,2.1305e-04,1.8069e-03,RXC J1614.3-6052,cluster,0.440,Abell 3627 (Norma),65.61,25.96,14.04,20.55,200,edge,yes
J163518-581311,Norma,248.82500,-58.21972,1559.6,1628.2,22.30,-7.20,no,0.095747,0.756731,0.646676,0.851581,0.118834,-0.510576,82.789,40.291,2.52,1.7524e-14,1.6238e-13,1.4603e-04,1.3532e-03,1.8722e-04,1.7348e-03,1.5508e-04,1.4370e-03,ZOA0003119,gal2mpp,0.387,Abell 3627 (Norma),154.33,42.24,77.04,92.35,200,edge,no
J163650-601632,Norma,249.20833,-60.27556,3411.3,3477.7,47.64,-8.71,no,-0.789972,0.603352,-0.109135,-0.184354,0.605096,-0.774515,142.629,-6.265,3.48,4.1011e-14,3.7658e-13,3.4176e-04,3.1382e-03,4.3816e-04,4.0233e-03,3.6293e-04,3.3326e-03,RXC J1614.3-6052,cluster,0.553,Abell 3627 (Norma),81.92,17.06,39.78,55.37,200,edge,no
J163916-601108,Norma,249.81667,-60.18556,3395.2,3459.8,47.39,-8.88,no,-0.810264,0.411761,-0.417044,-0.522745,0.509638,-0.683379,153.061,-24.648,0.99,1.0006e-13,9.3048e-13,8.3385e-04,7.7540e-03,1.0690e-03,9.9411e-03,8.8551e-04,8.2344e-03,ZOA0003091,gal2mpp,0.325,Abell 3627 (Norma),60.31,17.35,23.06,34.99,200,edge,yes
J163924-565221,Norma,249.85000,-56.87250,1466.7,1532.4,20.99,-6.71,no,-0.286956,0.737149,-0.611774,-0.383256,-0.075106,-0.920584,111.270,-37.718,5.76,2.1871e-14,1.7929e-13,1.8226e-04,1.4941e-03,2.3366e-04,1.9155e-03,1.9355e-04,1.5866e-03,16524632-5913009,gal2mpp,0.533,Abell 3627 (Norma),71.57,43.61,61.18,65.63,200,edge,no
J164052-602341,Norma,250.21667,-60.39472,5217.3,5280.6,72.34,-9.17,no,-0.508924,0.656223,0.557106,0.513312,0.633237,-0.579242,127.795,33.856,6.68,1.5020e-13,1.3218e-12,1.2517e-03,1.1015e-02,1.6047e-03,1.4122e-02,1.3292e-03,1.1698e-02,RXC J1614.3-6052,cluster,0.594,Abell 3627 (Norma),20.40,8.78,11.35,23.80,200,edge,yes
J164107-605902,Norma,250.27917,-60.98389,3487.2,3550.1,48.63,-9.57,no,-0.948179,0.276307,-0.156881,-0.396475,0.758050,-0.517849,163.753,-9.026,3.79,3.9180e-14,3.5166e-13,3.2650e-04,2.9305e-03,4.1859e-04,3.7570e-03,3.4673e-04,3.1120e-03,RXC J1614.3-6052,cluster,0.659,Abell 3627 (Norma),67.36,16.16,31.02,44.95,200,edge,no
J164157-622910,Norma,250.48750,-62.48611,4379.8,4441.5,60.84,-10.62,no,-0.866561,-0.295161,-0.402434,-0.772579,0.634146,-0.031304,198.809,-23.730,0.09,2.7470e-13,2.2715e-12,2.2892e-03,1.8929e-02,2.9349e-03,2.4268e-02,2.4310e-03,2.0102e-02,RXC J1614.3-6052,cluster,0.916,Abell 3627 (Norma),2.30,5.39,25.75,69.57,200,clear,yes
J164219-595904,Norma,250.57917,-59.98444,5480.2,5542.5,75.92,-9.04,no,-0.408851,0.722547,0.557464,0.573790,0.537144,-0.618257,119.503,33.881,4.48,1.5832e-13,1.6057e-12,1.3194e-03,1.3380e-02,1.6915e-03,1.7154e-02,1.4011e-03,1.4209e-02,RXC J1614.3-6052,cluster,0.251,Abell 3627 (Norma),21.85,12.24,9.52,15.87,200,edge,yes
J164249-610527,Norma,250.70417,-61.09083,4454.4,4515.9,61.86,-9.80,no,-0.886237,0.063240,-0.458895,-0.706277,0.593304,-0.386216,175.918,-27.316,0.24,3.7707e-13,3.1090e-12,3.1422e-03,2.5908e-02,4.0285e-03,3.3216e-02,3.3369e-03,2.7513e-02,RXC J1614.3-6052,cluster,0.913,Abell 3627 (Norma),2.32,4.62,32.09,72.43,200,edge,no
J164508-611614,Norma,251.28333,-61.27056,3697.3,3757.0,51.47,-10.13,no,-0.853996,0.024656,-0.519695,-0.759760,0.541965,-0.359221,178.346,-31.312,3.00,5.0119e-14,4.3723e-13,4.1766e-04,3.6436e-03,5.3546e-04,4.6713e-03,4.4353e-04,3.8693e-03,RXC J1614.3-6052,cluster,0.755,Abell 3627 (Norma),36.81,13.54,15.20,31.87,200,clear,yes
J164739-570817,Norma,251.91250,-57.13806,809.0,867.5,11.88,-7.74,no,-0.892975,0.328350,0.307868,0.042551,0.902755,-0.428046,159.811,17.931,4.72,3.3317e-14,2.7163e-13,2.7764e-04,2.2636e-03,3.5596e-04,2.9020e-03,2.9484e-04,2.4038e-03,Virgo,cluster,0.356,Abell 3627 (Norma),101.84,52.66,10.46,16.48,200,edge,yes
J164740-600851,Norma,251.91667,-60.14750,3259.4,3317.4,45.44,-9.65,no,-0.399602,0.433380,-0.807775,-0.698124,-0.028877,-0.715394,132.678,-53.879,2.34,7.0983e-14,6.2993e-13,5.9153e-04,5.2494e-03,7.5837e-04,6.7300e-03,6.2817e-04,5.5746e-03,16510272-6048313,gal2mpp,0.614,Abell 3627 (Norma),45.73,19.43,44.95,55.52,200,edge,no
J164749-613936,Norma,251.95417,-61.66000,5223.1,5280.6,72.34,-10.62,no,-0.681655,0.312156,0.661743,0.421270,0.866209,-0.268727,155.395,41.433,6.81,1.5527e-13,1.4305e-12,1.2939e-03,1.1921e-02,1.6589e-03,1.5283e-02,1.3741e-03,1.2660e-02,RXC J1614.3-6052,cluster,0.494,Abell 3627 (Norma),22.58,9.25,14.18,29.51,200,clear,yes
J165103-600109,Norma,252.76250,-60.01917,5792.7,5847.9,80.11,-9.90,no,-0.307996,0.627227,0.715349,0.715152,0.523368,-0.463297,116.153,45.672,4.25,8.5031e-14,8.1245e-13,7.0859e-04,6.7705e-03,9.0845e-04,8.6801e-03,7.5248e-04,7.1899e-03,RXC J1614.3-6052,cluster,0.268,Abell 3627 (Norma),11.24,16.66,7.52,11.94,200,edge,yes
J165348-590530,Norma,253.45000,-59.09167,1650.3,1703.5,23.34,-9.60,no,-0.677000,0.474698,0.562435,0.392909,0.803885,-0.446533,144.963,34.224,3.41,3.2673e-14,2.7913e-13,2.7227e-04,2.3261e-03,3.4907e-04,2.9822e-03,2.8914e-04,2.4702e-03,Virgo,cluster,0.158,Abell 3627 (Norma),120.84,41.29,44.72,92.87,200,edge,no
J165419-615311,Norma,253.57917,-61.88639,4540.9,4593.4,62.92,-11.37,no,-0.985537,0.076660,-0.151132,-0.473681,0.813186,-0.338165,175.552,-8.693,0.58,2.6372e-13,2.1986e-12,2.1977e-03,1.8322e-02,2.8176e-03,2.3489e-02,2.3338e-03,1.9457e-02,RXC J1614.3-6052,cluster,0.864,Abell 3627 (Norma),1.12,5.65,26.61,49.82,200,clear,yes
J165644-622413,Norma,254.18333,-62.40361,5101.9,5152.6,70.58,-11.90,no,-0.603680,0.366005,0.708244,0.508972,0.810946,-0.288641,148.772,45.092,3.60,1.5799e-13,1.3792e-12,1.3166e-03,1.1493e-02,1.6879e-03,1.4735e-02,1.3981e-03,1.2205e-02,RXC J1614.3-6052,cluster,0.581,Abell 3627 (Norma),1.78,8.69,17.79,42.49,200,clear,yes
J165724-595238,Norma,254.35000,-59.87722,3187.5,3237.7,44.35,-10.44,no,-0.810476,0.180951,-0.557123,-0.722345,0.471859,-0.505536,167.414,-33.857,1.77,4.4219e-14,3.8842e-13,3.6849e-04,3.2369e-03,4.7242e-04,4.1498e-03,3.9132e-04,3.4374e-03,RXC J1614.3-6052,cluster,0.362,Abell 3627 (Norma),42.71,20.75,20.79,30.86,200,clear,yes
J165804-605308,Norma,254.51667,-60.88556,1035.1,1084.9,14.86,-11.12,no,-0.934240,0.327697,0.140752,-0.117181,0.868229,-0.482127,160.671,8.091,6.12,2.4622e-14,1.9965e-13,2.0519e-04,1.6638e-03,2.6306e-04,2.1331e-03,2.1790e-04,1.7668e-03,Virgo,cluster,0.377,Abell 3627 (Norma),92.07,49.70,17.39,34.33,200,clear,yes
J165901-601241,Norma,254.75417,-60.21139,1106.2,1155.2,15.82,-10.80,no,-0.746935,0.611232,0.261693,0.154085,0.724685,-0.671631,140.706,15.171,5.80,2.3162e-14,1.9491e-13,1.9302e-04,1.6242e-03,2.4746e-04,2.0823e-03,2.0498e-04,1.7248e-03,17165947-6249139,gal2mpp,0.422,Abell 3627 (Norma),107.69,48.75,27.01,38.82,200,clear,yes
J165949-584125,Norma,254.95417,-58.69028,4798.9,4847.0,66.40,-9.97,no,-0.640387,0.767045,0.039327,0.055577,0.518708,-0.853143,129.858,2.254,1.67,1.8057e-13,1.5302e-12,1.5047e-03,1.2752e-02,1.9292e-03,1.6348e-02,1.5980e-03,1.3541e-02,RXC J1614.3-6052,cluster,0.756,Abell 3627 (Norma),4.10,7.23,23.62,29.80,200,edge,yes
J170303-614604,Norma,255.76250,-61.76778,2727.1,2773.1,37.99,-12.12,no,-0.985473,-0.167683,0.026918,-0.403608,0.912865,-0.061470,189.657,1.542,2.75,2.5418e-14,2.1576e-13,2.1182e-04,1.7980e-03,2.7156e-04,2.3051e-03,2.2494e-04,1.9093e-03,RXC J1614.3-6052,cluster,0.386,Abell 3627 (Norma),66.91,26.97,16.92,23.36,200,clear,yes
J170659-620502,Norma,256.74583,-62.08389,1539.9,1583.0,21.68,-12.68,no,-0.894132,-0.080840,0.440447,0.016704,0.999812,-0.009804,185.166,26.132,3.08,4.1545e-14,3.4357e-13,3.4621e-04,2.8631e-03,4.4386e-04,3.6706e-03,3.6766e-04,3.0404e-03,ZOA0003119,gal2mpp,0.202,Abell 3627 (Norma),96.00,42.99,22.40,35.17,200,clear,yes
J170747-595059,Norma,256.94583,-59.84972,4698.1,4740.0,64.93,-11.48,no,-0.803167,0.595634,-0.011931,-0.108158,0.659367,-0.744001,143.439,-0.684,1.10,1.5834e-13,1.3388e-12,1.3195e-03,1.1157e-02,1.6917e-03,1.4303e-02,1.4013e-03,1.1848e-02,RXC J1614.3-6052,cluster,0.795,Abell 3627 (Norma),7.57,7.54,23.63,31.94,200,clear,yes
J170915-613637,Norma,257.31250,-61.61028,4211.0,4252.2,58.25,-12.63,no,-0.877158,-0.007472,-0.480143,-0.745324,0.582807,-0.323772,180.488,-28.695,0.76,9.0135e-14,7.5761e-13,7.5113e-04,6.3134e-03,9.6298e-04,8.0942e-03,7.9766e-04,6.7045e-03,RXC J1614.3-6052,cluster,0.898,Abell 3627 (Norma),7.45,9.43,15.53,35.00,200,clear,yes
J171015-615505,Norma,257.56250,-61.91806,4825.1,4865.7,66.65,-12.90,no,-0.850613,0.369077,0.374486,0.129757,0.889366,-0.438396,156.544,21.993,1.48,1.4668e-13,1.2482e-12,1.2224e-03,1.0402e-02,1.5671e-03,1.3335e-02,1.2981e-03,1.1046e-02,RXC J1614.3-6052,cluster,0.753,Abell 3627 (Norma),5.53,8.03,22.61,31.96,200,clear,yes
J171338-590621,Norma,258.40833,-59.10583,3519.2,3556.0,48.71,-11.66,no,-0.810145,0.344079,-0.474631,-0.595437,0.491318,-0.635658,156.988,-28.335,3.08,3.4929e-14,3.0318e-13,2.9108e-04,2.5265e-03,3.7317e-04,3.2391e-03,3.0911e-04,2.6830e-03,RXC J1614.3-6052,cluster,0.658,Abell 3627 (Norma),42.31,17.43,11.61,18.72,200,clear,yes
J171804-575135,Norma,259.51667,-57.85972,1054.9,1087.4,14.90,-11.45,no,-0.894272,0.416250,0.164361,-0.051616,0.833972,-0.549388,155.040,9.460,5.20,2.9043e-14,2.3736e-13,2.4202e-04,1.9780e-03,3.1029e-04,2.5359e-03,2.5702e-04,2.1005e-03,Virgo,cluster,0.310,Abell 3627 (Norma),95.12,49.80,9.93,14.53,200,clear,yes
J171829-602453,Norma,259.62083,-60.41472,5642.5,5676.1,77.75,-12.89,no,-0.345633,0.596361,0.724494,0.698383,0.564053,-0.440574,120.095,46.427,3.12,7.4396e-14,6.8430e-13,6.1997e-04,5.7025e-03,7.9483e-04,7.3108e-03,6.5837e-04,6.0557e-03,RXC J1614.3-6052,cluster,0.327,Abell 3627 (Norma),5.23,16.44,6.49,10.67,200,clear,yes
J172007-600928,Norma,260.02917,-60.15778,4512.8,4544.9,62.26,-12.93,no,-0.850402,0.461984,-0.251768,-0.378205,0.611755,-0.694778,151.487,-14.582,0.80,9.5980e-14,8.1228e-13,7.9983e-04,6.7690e-03,1.0254e-03,8.6782e-03,8.4938e-04,7.1884e-03,RXC J1614.3-6052,cluster,0.877,Abell 3627 (Norma),12.49,9.22,19.52,35.85,200,clear,yes
