# LANE W1 per-side asymmetries, ALL per-side-capable WALLABY galaxies
# FIREWALL: N~237 -> ~1-1.5 sigma at AQUAL amplitude; NEITHER pre-registered
#   kill condition (3-sigma AQUAL-vs-BranchB, N~1157 canonical a0=9.36e-11 /
#   N~1424 alt a0=1.13e-10) CAN TRIGGER on this sample. a0 does not enter
#   this extraction; both footings enter at the confrontation stage only.
# CONVENTION: A_preregistered = 2(v_rec - v_appr)/(v_rec + v_appr), receding-
#   side tied (side determined EMPIRICALLY; pa_flipped flags anti-aligned PA).
#   A_raw_extractor = 2(v_app - v_rec)/(v_app + v_rec) as printed by the pilot
#   extractor (OPPOSITE ordering). PA_wkapp = Deg+22 PA_model_g, 'Position
#   angle in equatorial coordinates (East of North)' (arXiv:2211.07333 Tab.4).
# QC frozen BEFORE extraction: see QC_FROZEN.md.
jname,ra,dec,cz,field,hires,tr,inc,pa_wkapp,pa_flipped,n_outer,v_rec,v_appr,A_raw_extractor,A_preregistered,sigma_boot,sanity_ratio,weight,n_models_available,model_file,qc_pass,qc_reason
J103655-265412,159.233396,-26.903277,3235.3,Hydra,False,2,67.0,206.3,False,2,107.97831759437565,76.41674598738972,-0.34232555898103795,0.34232555898103795,0.037177562558143994,0.8508029300052867,mom0,1,WALLABY_J103655-265412_Hydra_Kin_TR2_AvgMod.txt,False,n_outer 2 < 4
J103702-273359,159.257993,-27.565302,2853.9,Hydra,False,2,68.5,346.4,False,3,353.3778150628853,294.10542904651015,-0.18308546686147387,0.18308546686147387,0.02678743930500873,1.0017169916768403,mom0,2,WALLABY_J103702-273359_Hydra_Kin_TR2_AvgMod.txt,False,n_outer 3 < 4
J103725-251916,159.354534,-25.318605,3700.5,Hydra,False,2,25.3,288.4,False,6,277.69391423663734,209.46223553723837,-0.280122415496839,0.280122415496839,0.005720796921600147,0.9847772081690959,mom0,2,WALLABY_J103725-251916_Hydra_Kin_TR2_AvgMod.txt,True,pass
J103818-285307,159.574242,-28.886166,4389.1,Hydra,False,2,72.6,168.0,False,2,158.9255062085585,161.65393710458545,0.01702187057179344,-0.01702187057179344,0.032372683990512165,0.9718499101854455,mom0,2,WALLABY_J103818-285307_Hydra_Kin_TR2_AvgMod.txt,False,inc 72.6 >= 70
J103915-301757,159.811984,-30.297325,3755.9,Hydra,False,2,79.7,125.0,False,4,225.27006449826226,232.11215187397983,0.029918467009872166,-0.029918467009872166,0.03058625944940006,0.9895635111328592,mom0,2,WALLABY_J103915-301757_Hydra_Kin_TR2_AvgMod.txt,False,inc 79.7 >= 70
J103918-265030,159.825612,-26.840517,3070.3,Hydra,False,2,71.0,19.2,False,2,199.67240995354666,163.4116807293513,-0.19973736197581798,0.19973736197581798,0.03035925336717705,0.9682197966007148,mom0,2,WALLABY_J103918-265030_Hydra_Kin_TR2_AvgMod.txt,False,inc 71.0 >= 70
J103922-293505,159.842748,-29.584478,3875.2,Hydra,False,1,53.1,115.1,False,2,144.83137259001148,118.04104158727662,-0.20382763316250258,0.20382763316250258,0.03667601063128112,0.9876009952683953,mom0,1,WALLABY_J103922-293505_Hydra_Kin_TR1_AvgMod.txt,False,n_outer 2 < 4
J104000-292445,160.000977,-29.412882,3758.7,Hydra,False,2,71.3,76.2,False,2,117.80406052793819,91.49948212410085,-0.25135339871019696,0.25135339871019696,0.04280260412261291,0.995909367382795,mom0,2,WALLABY_J104000-292445_Hydra_Kin_TR2_AvgMod.txt,False,inc 71.3 >= 70
J104004-301606,160.016392,-30.265695,3396.8,Hydra,False,2,67.4,14.1,False,2,161.40845082733568,127.50391015323015,-0.2347046734797628,0.2347046734797628,0.045567300415177744,0.9419694718902447,mom0,2,WALLABY_J104004-301606_Hydra_Kin_TR2_AvgMod.txt,False,n_outer 2 < 4
J104016-274630,160.070269,-27.775365,3972.9,Hydra,False,2,42.6,111.3,False,3,200.1562940570503,209.19791123518743,0.04417503013891026,-0.04417503013891026,0.016455885587967085,0.9475758244460025,mom0,2,WALLABY_J104016-274630_Hydra_Kin_TR2_AvgMod.txt,False,n_outer 3 < 4
J104059-270456,160.246307,-27.082682,4742.0,Hydra,False,1,59.1,208.9,False,3,210.91368434256867,187.52631230815942,-0.11739470048691217,0.11739470048691217,0.016940420500480537,0.9823700920644082,mom0,1,WALLABY_J104059-270456_Hydra_Kin_TR1_AvgMod.txt,False,n_outer 3 < 4
J104309-300301,160.790572,-30.049287,3191.4,Hydra,False,2,41.3,115.3,False,3,114.23582615322438,90.06967327979028,-0.23656879467757472,0.23656879467757472,0.015292878962138507,1.0049849208329167,mom0,2,WALLABY_J104309-300301_Hydra_Kin_TR2_AvgMod.txt,False,n_outer 3 < 4
J104311-261500,160.797374,-26.249405,4516.3,Hydra,False,2,68.6,247.0,False,3,236.04354917361832,186.88309974245593,-0.23247742632041055,0.23247742632041055,0.026912696014572468,1.0264004037073793,mom0,2,WALLABY_J104311-261500_Hydra_Kin_TR2_AvgMod.txt,False,n_outer 3 < 4
J104339-285157,160.911874,-28.866285,3457.3,Hydra,False,2,80.1,57.9,False,3,167.9118679946323,134.5766150530549,-0.22040675800752468,0.22040675800752468,0.04667689740949969,1.0430382198385182,mom0,2,WALLABY_J104339-285157_Hydra_Kin_TR2_AvgMod.txt,False,inc 80.1 >= 70
J104905-292232,162.271773,-29.374901,4276.8,Hydra,False,2,34.2,359.8,False,1,88.70063245100113,86.3106899944878,-0.027311861005538358,0.027311861005538358,0.030898621364731815,0.8495695264344123,mom0,1,WALLABY_J104905-292232_Hydra_Kin_TR2_AvgMod.txt,False,n_outer 1 < 4
J122708+055255,186.786343,5.882283,1114.5,NGC4636,False,1,78.1,194.4,False,3,88.67253939166007,92.23479836921706,0.03938213918404547,-0.03938213918404547,0.036692969938187665,1.0042737675536337,mom0,1,WALLABY_J122708+055255_NGC_4636_Kin_TR1_AvgMod.txt,False,inc 78.1 >= 70
J122710+071549,186.795438,7.262864,925.2,NGC4636,False,1,37.8,142.9,False,4,124.4466946978944,98.92601519821903,-0.228503110443031,0.228503110443031,0.00666139791756113,0.9831846961213839,mom0,1,WALLABY_J122710+071549_NGC_4636_Kin_TR1_AvgMod.txt,True,pass
J122726+061551,186.859777,6.263072,1447.2,NGC4636,False,1,41.2,80.3,False,3,82.89641655880486,92.32635257646905,0.1076336832730246,-0.1076336832730246,0.016396531802238348,0.8682840830595201,mom0,1,WALLABY_J122726+061551_NGC_4636_Kin_TR1_AvgMod.txt,False,n_outer 3 < 4
J122733+061359,186.887977,6.234586,6402.0,NGC4636,False,1,31.0,29.7,False,2,136.47014950191442,119.6075156780823,-0.131699371844705,0.131699371844705,0.01386932158866311,0.8224785669301182,mom0,1,WALLABY_J122733+061359_NGC_4636_Kin_TR1_AvgMod.txt,False,n_outer 2 < 4
J122852+041739,187.219163,4.294116,4232.4,NGC4636,False,1,82.8,54.2,False,4,185.93023077028676,153.43947481970667,-0.19147705534938647,0.19147705534938647,0.04358464871955977,1.1034077089460548,mom0,1,WALLABY_J122852+041739_NGC_4636_Kin_TR1_AvgMod.txt,False,inc 82.8 >= 70
J122932+005020,187.385819,0.839689,2236.3,NGC4636,False,1,81.6,72.5,False,2,65.47237109964392,58.53736917655658,-0.11184608414857364,0.11184608414857364,0.051707890134228426,1.0309904330479498,mom0,1,WALLABY_J122932+005020_NGC_4636_Kin_TR1_AvgMod.txt,False,inc 81.6 >= 70
J123026+041450,187.610935,4.247607,2430.2,NGC4636,False,1,62.2,173.2,False,3,180.74505690067835,165.2083990234057,-0.0898193535068025,0.0898193535068025,0.021489377564270894,0.98000470119271,mom0,1,WALLABY_J123026+041450_NGC_4636_Kin_TR1_AvgMod.txt,False,n_outer 3 < 4
J123138+035620,187.913481,3.940552,1723.2,NGC4636,False,1,43.3,52.3,False,7,131.8367078962538,82.03881237129258,-0.46567176517131864,0.46567176517131864,0.03496743687384051,0.9385939306680341,mom0,1,WALLABY_J123138+035620_NGC_4636_Kin_TR1_AvgMod.txt,True,pass
J123228+002315,188.117436,0.388701,1519.4,NGC4636,False,1,58.3,205.6,False,7,94.21758427242152,76.91283825736794,-0.20224044046921305,0.20224044046921305,0.004851165162096499,0.9676786363591624,mom0,1,WALLABY_J123228+002315_NGC_4636_Kin_TR1_AvgMod.txt,True,pass
J123236+023943,188.152385,2.661852,1726.7,NGC4636,False,1,81.0,215.5,False,4,84.52863155820606,64.92489026519267,-0.26233896737713663,0.26233896737713663,0.029285069488756352,0.9766269109863663,mom0,1,WALLABY_J123236+023943_NGC_4636_Kin_TR1_AvgMod.txt,False,inc 81.0 >= 70
J123244+000656,188.189931,0.117007,1130.0,NGC4636,False,1,84.7,261.6,False,13,169.30478668869733,207.34760793164898,0.20200493498148397,-0.20200493498148397,0.01098114747935145,1.1393370914888106,mom0,1,WALLABY_J123244+000656_NGC_4636_Kin_TR1_AvgMod.txt,False,inc 84.7 >= 70
J123407+023905,188.533254,2.654182,1735.9,NGC4636,False,1,82.6,68.9,False,14,210.21028393577623,237.1931048630397,0.12061965377466932,-0.12061965377466932,0.010830493818667086,1.0960256835733329,mom0,1,WALLABY_J123407+023905_NGC_4636_Kin_TR1_AvgMod.txt,False,inc 82.6 >= 70
J123427+021108,188.613101,2.185925,1802.8,NGC4636,False,1,73.2,305.0,False,8,183.63458659714775,181.70140692991822,-0.010583023307208323,0.010583023307208323,0.013986510743433893,1.1391348240997936,mom0,1,WALLABY_J123427+021108_NGC_4636_Kin_TR1_AvgMod.txt,False,inc 73.2 >= 70
J123530-021940,188.875552,-2.326407,7133.4,NGC4636,False,1,70.1,189.3,False,4,255.84753697016595,180.79279204395195,-0.34378292584965164,0.34378292584965164,0.022877841743015114,0.9245397244240963,mom0,1,WALLABY_J123530-021940_NGC_4636_Kin_TR1_AvgMod.txt,False,inc 70.1 >= 70
J123554-015112,188.978133,-1.853429,6873.4,NGC4636,False,1,46.3,253.4,False,1,129.03243500644007,103.32634884722181,-0.22126201327863546,0.22126201327863546,0.030285227972263847,0.7064990689157435,mom0,1,WALLABY_J123554-015112_NGC_4636_Kin_TR1_AvgMod.txt,False,"sanity ratio 0.706 outside [0.8,1.2]"
J123555-025405,188.980625,-2.900338,7119.2,NGC4636,False,1,36.8,54.4,False,1,168.92458147271688,155.13206963473513,-0.08512407809465619,0.08512407809465619,0.02178835187205781,0.7246888896472442,mom0,1,WALLABY_J123555-025405_NGC_4636_Kin_TR1_AvgMod.txt,False,"sanity ratio 0.725 outside [0.8,1.2]"
J123630+001315,189.127267,0.223023,3712.8,NGC4636,False,1,50.1,105.8,False,3,88.98181774999527,79.04965221020704,-0.11821792122797746,0.11821792122797746,0.01875961117063958,0.8829486200332967,mom0,1,WALLABY_J123630+001315_NGC_4636_Kin_TR1_AvgMod.txt,False,n_outer 3 < 4
J123641+030621,189.174085,3.1058,1440.4,NGC4636,False,1,81.4,45.4,False,3,78.62462549163813,60.529888306487315,-0.2600668378088152,0.2600668378088152,0.034698848737030545,1.1131670942860876,mom0,1,WALLABY_J123641+030621_NGC_4636_Kin_TR1_AvgMod.txt,False,inc 81.4 >= 70
J123703+065533,189.262547,6.929193,1632.8,NGC4636,False,1,32.9,92.7,False,2,82.27744570401609,66.38726493313223,-0.213772060669699,0.213772060669699,0.04090102125644914,0.8060601129018544,mom0,1,WALLABY_J123703+065533_NGC_4636_Kin_TR1_AvgMod.txt,False,n_outer 2 < 4
J123803-021549,189.512823,-2.263292,2571.6,NGC4636,False,1,39.7,215.8,False,1,106.53217122694016,87.77181956480764,-0.19310310185280335,0.19310310185280335,0.024654306470888714,0.6077567798220448,mom0,1,WALLABY_J123803-021549_NGC_4636_Kin_TR1_AvgMod.txt,False,"sanity ratio 0.608 outside [0.8,1.2]"
J123805-000137,189.522041,-0.026958,3747.0,NGC4636,False,1,73.6,117.0,False,3,163.52511566063959,166.38022447125664,0.017308654715777447,-0.017308654715777447,0.029074364426265202,0.9826547559768013,mom0,1,WALLABY_J123805-000137_NGC_4636_Kin_TR1_AvgMod.txt,False,inc 73.6 >= 70
J123835+012413,189.649124,1.403165,5195.4,NGC4636,False,1,80.7,149.2,False,3,158.56903559991426,166.37703923787117,0.04805722698361386,-0.04805722698361386,0.0371670474469617,1.0631926171566843,mom0,1,WALLABY_J123835+012413_NGC_4636_Kin_TR1_AvgMod.txt,False,inc 80.7 >= 70
J123911+004305,189.797209,0.71799,5091.0,NGC4636,False,1,52.2,253.3,False,3,134.45878917950245,126.93172663351716,-0.05759246866760552,0.05759246866760552,0.01640817773731868,0.9195982166281074,mom0,1,WALLABY_J123911+004305_NGC_4636_Kin_TR1_AvgMod.txt,False,n_outer 3 < 4
J123917-003149,189.825456,-0.531074,1064.7,NGC4636,False,1,75.7,275.3,False,23,111.5580384359746,100.62540952066634,-0.10304883835747931,0.10304883835747931,0.0036015437034031253,1.0077724702777746,mom0,1,WALLABY_J123917-003149_NGC_4636_Kin_TR1_AvgMod.txt,False,inc 75.7 >= 70
J123949+014016,189.959857,1.672093,1217.7,NGC4636,False,1,62.3,267.2,False,2,56.0232877307555,41.17981920768892,-0.3054114007377658,0.3054114007377658,0.01898750946335931,0.8661940330469977,mom0,1,WALLABY_J123949+014016_NGC_4636_Kin_TR1_AvgMod.txt,False,n_outer 2 < 4
J123954-004804,189.978588,-0.799811,4443.3,NGC4636,False,1,37.1,165.4,False,1,85.79235887619232,65.02061300059694,-0.27546365033593295,0.27546365033593295,0.03225140759796433,0.6700735794145212,mom0,1,WALLABY_J123954-004804_NGC_4636_Kin_TR1_AvgMod.txt,False,"sanity ratio 0.670 outside [0.8,1.2]"
