Rank,ChEMBL_ID,Name,MW,Original_Indication,Combined_Score,Shape_Score,Size_Score,Allosteric_Score,SMILES
21,CHEMBL454,BUTALBITAL,224.3,Migraine Disorders,0.6557,0.4085,0.9134,0.635,C=CCC1(CC(C)C)C(=O)NC(=O)NC1=O
22,CHEMBL267894,AMOBARBITAL,226.3,Osteoarthritis,0.654,0.5126,0.8488,0.5472,CCC1(CCC(C)C)C(=O)NC(=O)NC1=O
23,CHEMBL455,SULFACETAMIDE,214.2,Osteomyelitis; Acne Vulgaris; Eye Infections,0.648,0.8706,0.5261,0.4463,CC(=O)NS(=O)(=O)c1ccc(N)cc1
24,CHEMBL448,PENTOBARBITAL,226.3,Heart Diseases; Substance-Related Disorders; Status Epilepticus,0.6359,0.5326,0.7833,0.5478,CCCC(C)C1(CC)C(=O)NC(=O)NC1=O
25,CHEMBL19,METHAZOLAMIDE,236.3,"Altitude Sickness; Uterine Cervical Neoplasms; Glaucoma, Open-Angle",0.6328,0.7719,0.5882,0.4439,CC(=O)/N=c1/sc(S(N)(=O)=O)nn1C
26,CHEMBL447,SECOBARBITAL,238.3,Unknown,0.6276,0.4362,0.8308,0.604,C=CCC1(C(C)CCC)C(=O)NC(=O)NC1=O
27,CHEMBL441,THIOPENTAL,242.3,"Shock, Septic; Status Epilepticus; Strabismus",0.6263,0.5797,0.7237,0.5247,CCCC(C)C1(CC)C(=O)NC(=S)NC1=O
28,CHEMBL16,PHENYTOIN,252.3,Epilepsy; Seizures; Wounds and Injuries,0.6095,0.4165,0.7891,0.6362,O=C1NC(=O)C(c2ccccc2)(c2ccccc2)N1
29,CHEMBL434,ISOPROTERENOL,211.3,Atrial Fibrillation; Cardiovascular Diseases; Lipoma,0.5963,0.8317,0.4425,0.4333,CC(C)NCC(O)c1ccc(O)c(O)c1
30,CHEMBL452,CLONAZEPAM,315.7,Neuralgia; Epilepsy; Pain,0.5917,0.4233,0.7319,0.648,O=C1CN=C(c2ccccc2Cl)c2cc([N+](=O)[O-])ccc2N1
31,CHEMBL36,PYRIMETHAMINE,248.7,"Amyotrophic Lateral Sclerosis; Pregnancy; Leukemia, Lymphocytic, Chronic, B-Cell",0.5896,0.8421,0.416,0.4319,CCc1nc(N)nc(N)c1-c1ccc(Cl)cc1
32,CHEMBL268869,SULFAMETHOXYPYRIDAZINE,280.3,Bacterial Infections,0.5881,0.5015,0.6928,0.552,COc1ccc(NS(=O)(=O)c2ccc(N)cc2)nn1
33,CHEMBL20,ACETAZOLAMIDE,222.2,Kidney Diseases; Andersen Syndrome; Altitude Sickness,0.5833,0.7224,0.519,0.4337,CC(=O)Nc1nnc(S(N)(=O)=O)s1
34,CHEMBL5,NALIDIXIC ACID,232.2,Osteomyelitis; Bacterial Infections,0.5782,0.679,0.5307,0.4717,CCn1cc(C(=O)O)c(=O)c2ccc(C)nc21
35,CHEMBL404,TAZOBACTAM,300.3,Infections; Pseudomonas Infections; Abscess,0.5699,0.47,0.6585,0.5923,C[C@]1(Cn2ccnn2)[C@H](C(=O)O)N2C(=O)C[C@H]2S1(=O)=O
36,CHEMBL30,CIMETIDINE,252.3,Gastroesophageal Reflux; Peptic Ulcer; Hemorrhage,0.5607,0.7116,0.4601,0.4598,CN/C(=N\CCSCc1nc[nH]c1C)NC#N
