Rank,ChEMBL_ID,Name,MW,Original_Indication,Combined_Score,Shape_Score,Size_Score,Allosteric_Score,SMILES
26,CHEMBL415,CLOMIPRAMINE,314.9,Obsessive-Compulsive Disorder; Anxiety; Dementia,0.7939,0.8918,0.796,0.5941,CN(C)CCCN1c2ccccc2CCc2ccc(Cl)cc21
27,CHEMBL6437,MIANSERIN,264.4,Anxiety; Dementia; Depressive Disorder,0.7877,0.8556,0.816,0.5951,CN1CCN2c3ccccc3Cc3ccccc3C2C1
28,CHEMBL451,CHLORDIAZEPOXIDE,299.8,"Anxiety; Substance Withdrawal Syndrome; Depressive Disorder, Major",0.7864,0.8746,0.784,0.6146,CNC1=Nc2ccc(Cl)cc2C(c2ccccc2)=[N+]([O-])C1
29,CHEMBL416,METHOXSALEN,216.2,Lymphoma; Mycosis Fungoides; Graft vs Host Disease,0.7789,0.7122,0.9705,0.5289,COc1c2occc2cc2ccc(=O)oc12
30,CHEMBL7413,METHOHEXITAL,262.3,Unknown,0.7625,0.9079,0.7131,0.5705,C=CCC1(C(C)C#CCC)C(=O)NC(=O)N(C)C1=O
31,CHEMBL11,IMIPRAMINE,280.4,Gastroesophageal Reflux; Anxiety; Dementia,0.7582,0.8598,0.7509,0.5694,CN(C)CCCN1c2ccccc2CCc2ccccc21
32,CHEMBL445,NORTRIPTYLINE,263.4,Irritable Bowel Syndrome; Tobacco Use Disorder; Psoriasis,0.7518,0.8635,0.7266,0.5787,CNCCC=C1c2ccccc2CCc2ccccc21
33,CHEMBL29,PENICILLIN G,334.4,Osteomyelitis; Rheumatic Heart Disease; Syphilis,0.7507,0.8215,0.7931,0.5242,CC1(C)S[C@@H]2[C@H](NC(=O)Cc3ccccc3)C(=O)N2[C@H]1C(=O)O
34,CHEMBL419,MAFENIDE,186.2,Osteomyelitis,0.7425,0.6136,0.9991,0.4872,NCc1ccc(S(N)(=O)=O)cc1
35,CHEMBL21,SULFANILAMIDE,172.2,Bacterial Infections,0.7385,0.6507,0.9603,0.4703,Nc1ccc(S(N)(=O)=O)cc1
36,CHEMBL443,SULFAMETHOXAZOLE,253.3,Infections; Neoplasms; Idiopathic Pulmonary Fibrosis,0.7367,0.8129,0.7663,0.5251,Cc1cc(NS(=O)(=O)c2ccc(N)cc2)no1
37,CHEMBL5,NALIDIXIC ACID,232.2,Osteomyelitis; Bacterial Infections,0.7336,0.7434,0.8347,0.5117,CCn1cc(C(=O)O)c(=O)c2ccc(C)nc21
38,CHEMBL14,CARBACHOL,182.7,Presbyopia; Miosis; Cataract,0.7335,0.6029,0.9823,0.4971,C[N+](C)(C)CCOC(N)=O.[Cl-]
39,CHEMBL439,SULFADIAZINE,250.3,"Osteomyelitis; Toxoplasmosis, Cerebral; Toxoplasmosis, Congenital",0.7297,0.7915,0.7753,0.5149,Nc1ccc(S(=O)(=O)Nc2ncccn2)cc1
40,CHEMBL30,CIMETIDINE,252.3,Gastroesophageal Reflux; Peptic Ulcer; Hemorrhage,0.7136,0.7555,0.7787,0.4998,CN/C(=N\CCSCc1nc[nH]c1C)NC#N
41,CHEMBL6622,ISOSORBIDE DINITRATE,236.1,Cardiovascular Diseases; Heart Failure; Diabetic Foot,0.7121,0.6003,0.9337,0.4924,O=[N+]([O-])O[C@H]1CO[C@H]2[C@@H]1OC[C@H]2O[N+](=O)[O-]
42,CHEMBL455,SULFACETAMIDE,214.2,Osteomyelitis; Acne Vulgaris; Eye Infections,0.7014,0.6789,0.8313,0.4863,CC(=O)NS(=O)(=O)c1ccc(N)cc1
43,CHEMBL456,ETHACRYNIC ACID,303.1,Cardiovascular Diseases; Urinary Bladder Neoplasms; Heart Failure,0.6972,0.8129,0.6756,0.5088,C=C(CC)C(=O)c1ccc(OCC(=O)O)c(Cl)c1Cl
44,CHEMBL19,METHAZOLAMIDE,236.3,"Altitude Sickness; Uterine Cervical Neoplasms; Glaucoma, Open-Angle",0.6936,0.6171,0.8749,0.4839,CC(=O)/N=c1/sc(S(N)(=O)=O)nn1C
