Rank,ChEMBL_ID,Name,MW,Original_Indication,Combined_Score,Shape_Score,Size_Score,Allosteric_Score,SMILES
57,CHEMBL36,PYRIMETHAMINE,248.7,"Amyotrophic Lateral Sclerosis; Pregnancy; Leukemia, Lymphocytic, Chronic, B-Cell",0.6832,0.5523,0.9147,0.4819,CCc1nc(N)nc(N)c1-c1ccc(Cl)cc1
58,CHEMBL434,ISOPROTERENOL,211.3,Atrial Fibrillation; Cardiovascular Diseases; Lipoma,0.6781,0.5506,0.903,0.4833,CC(C)NCC(O)c1ccc(O)c(O)c1
59,CHEMBL7863,APROBARBITAL,210.2,Unknown,0.6765,0.8329,0.5518,0.6134,C=CCC1(C(C)C)C(=O)NC(=O)NC1=O
60,CHEMBL455,SULFACETAMIDE,214.2,Osteomyelitis; Acne Vulgaris; Eye Infections,0.6762,0.5789,0.8636,0.4963,CC(=O)NS(=O)(=O)c1ccc(N)cc1
61,CHEMBL18,ETHOXZOLAMIDE,258.3,Unknown,0.6722,0.4724,0.9821,0.452,CCOc1ccc2nc(S(N)(=O)=O)sc2c1
62,CHEMBL33,LEVOFLOXACIN ANHYDROUS,361.4,"Infections; Osteomyelitis; Urinary Bladder, Overactive",0.6659,0.5495,0.9041,0.422,C[C@H]1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(C(=O)O)cn1c23
63,CHEMBL425,OLSALAZINE,302.2,"Spondylitis, Ankylosing",0.6602,0.454,0.9842,0.4247,O=C(O)c1cc(/N=N/c2ccc(O)c(C(=O)O)c2)ccc1O
64,CHEMBL403,SULBACTAM,233.2,Infections; Osteomyelitis; Cleft Palate,0.6538,0.8951,0.3841,0.7104,CC1(C)[C@H](C(=O)O)N2C(=O)C[C@H]2S1(=O)=O
65,CHEMBL416,METHOXSALEN,216.2,Lymphoma; Mycosis Fungoides; Graft vs Host Disease,0.6434,0.6122,0.7268,0.5389,COc1c2occc2cc2ccc(=O)oc12
66,CHEMBL20,ACETAZOLAMIDE,222.2,Kidney Diseases; Andersen Syndrome; Altitude Sickness,0.6399,0.4909,0.867,0.4837,CC(=O)Nc1nnc(S(N)(=O)=O)s1
67,CHEMBL19,METHAZOLAMIDE,236.3,"Altitude Sickness; Uterine Cervical Neoplasms; Glaucoma, Open-Angle",0.6385,0.5171,0.8322,0.4939,CC(=O)/N=c1/sc(S(N)(=O)=O)nn1C
68,CHEMBL267936,MECAMYLAMINE,167.3,Hypertension; Macular Degeneration; Tobacco Use Disorder,0.6377,0.9062,0.3406,0.695,CNC1(C)C2CCC(C2)C1(C)C
69,CHEMBL25,ASPIRIN,180.2,Atrial Fibrillation; Duodenal Ulcer; Fever,0.636,0.7498,0.5494,0.5817,CC(=O)Oc1ccccc1C(=O)O
