08 25 49.55 +47 10 27.80 39672  06 1 1
08 25 50.63 +47 09 32.44 36853  30 1 1
08 25 51.03 +46 45 07.02 38202  33 1 2
08 25 51.60 +46 33 42.70 37989  05 1 2
08 25 52.31 +46 06 34.06 37901  08 1 2
08 25 52.88 +46 33 09.58 38320  08 1 2
08 25 53.37 +47 16 09.66 37456  45 1 2
08 25 55.76 +47 01 57.29 39240  60 1 1
08 25 57.54 +44 26 44.84 43967  54 1 1
08 25 58.13 +47 14 48.01 37537  45 1 2
08 25 58.32 +47 46 27.01 37798  07 1 2
08 25 58.95 +46 43 12.29 37912  42 1 2
08 25 59.16 +47 58 53.62 38402  06 1 2
08 26 00.59 +47 02 34.51 38241  45 1 2
08 26 03.81 +47 19 10.31 38430  51 1 2
08 26 04.14 +43 49 00.77 43199  01 1 1
08 26 06.23 +47 04 49.55 37441  51 1 2
08 26 06.80 +47 59 32.17 38658  07 1 1
08 26 07.78 +46 30 14.44 37729  03 1 2
08 26 09.39 +44 37 25.79 43008  51 1 1
08 26 10.29 +47 37 32.56 37999  45 1 2
08 26 14.15 +47 16 00.34 38182  39 1 2
08 26 15.42 +47 09 23.00 38607  33 1 2
08 26 17.25 +47 04 34.36 38191  48 1 2
08 26 19.46 +47 06 49.10 38271  45 1 2
08 26 21.26 +47 11 12.12 38544  45 1 2
08 26 24.16 +44 59 37.57 42960  42 1 1
08 26 26.89 +46 11 00.71 37798  04 1 2
08 26 35.48 +46 13 30.29 37690  05 1 1
08 26 37.05 +47 10 25.64 38394  39 1 2
08 26 40.81 +46 32 03.59 38646  08 1 1
08 26 48.09 +46 37 59.84 38097  07 1 2
08 26 48.21 +46 39 19.87 38745  42 1 1
08 26 48.31 +47 38 05.68 38425  03 1 2
08 26 48.82 +44 44 56.08 43044  45 1 1
08 26 49.06 +47 07 05.56 37390  48 1 1
08 26 51.78 +47 28 57.58 38370  48 1 2
08 26 53.67 +47 09 56.45 37474  48 1 1
08 26 59.10 +44 56 07.84 43272  42 1 1
08 27 03.61 +47 14 25.80 37441  39 1 1
