01 51 38.155 +01 02 59.640  71983  46 08.10 Q 0
01 51 38.374 +01 10 48.756  24939  32 10.74 Q 0
01 51 38.540 +01 07 00.030  18031  22 17.68 Q 0
01 51 38.746 +00 48 58.608  62569  36 12.10 Q 0
01 51 38.770 +01 12 09.594 109592  39 07.98 Q 0
01 51 38.844 +00 46 07.320  72354  45 08.00 Q 0
01 51 38.950 +00 46 32.484 119546  35 08.63 Q 0
01 51 39.394 +01 15 09.000  94749  37 08.52 Q 0
01 51 39.586 +01 11 07.224 145170  54 08.25 Q 0
01 51 39.847 +01 06 50.148 114130  41 08.20 Q 0
01 51 40.166 +01 10 07.392  26623  41 07.59 Q 0
01 51 40.472 +01 10 31.530  17730  40 07.40 Q 0
01 51 40.516 +01 01 55.150  17660  28 12.62 Q 0
01 51 40.824 +01 14 53.196 145451  42 09.24 Q 0
01 51 41.124 +00 57 54.180 107800  31 12.62 Q 0
01 51 41.178 +00 47 18.708  51813  25 17.96 Q 0
01 51 41.310 +00 51 39.136  59957  24 17.94 Q 0
01 51 41.347 +01 07 25.716 123174  29 11.31 Q 0
01 51 41.408 +01 05 59.640  77270  16 35.23 Q 0
01 51 41.614 +00 54 46.764 108494  64 05.08 Q 0
01 51 41.626 +01 02 57.873  17462  45 07.68 Q 0
01 51 41.998 +01 06 56.340  38697  69 05.07 Q 0
01 51 42.007 +00 50 53.196  59523  25 21.32 Q 0
01 51 42.028 +00 46 34.669  83841  18 14.30 Q 0
01 51 42.552 +01 12 31.860 145066  39 08.94 Q 0
01 51 42.794 +00 51 41.551  59703  27 16.16 Q 0
01 51 42.962 +01 01 11.244 107927  43 08.89 Q 0
01 51 42.994 +00 54 29.664  72061  34 08.47 Q 0
01 51 43.010 +00 33 12.708  69132  38 11.47 Q 0
01 51 43.605 +01 01 29.280 108186  45 09.75 Q 0
01 51 43.691 +01 05 53.599  23334  16 22.25 Q 0
01 51 43.970 +01 07 37.020 123262  64 06.36 Q 0
01 51 44.258 +00 39 34.931  84142  23 19.36 Q 0
01 51 44.545 +00 41 16.627  18095  16 20.02 Q 0
01 51 44.708 +01 07 10.769  17961  31 10.72 Q 0
01 51 44.976 +00 53 13.380 107349  34 13.17 Q 0
01 51 45.249 +01 05 12.840 124117  35 13.32 Q 0
01 51 45.520 +01 02 47.393  49422  46 07.80 Q 0
01 51 45.960 +01 01 02.604 108026  61 06.29 Q 0
01 51 46.020 +00 36 35.820 160649  48 07.01 Q 0
01 51 46.027 +00 33 26.068  84101  33 12.76 Q 0
01 51 46.445 +01 12 31.536 108529  64 06.58 Q 0
01 51 46.684 +00 50 52.685  18133  34 08.79 Q 0
01 51 46.707 +00 52 11.568 108955  41 08.60 Q 0
01 51 46.757 +01 08 12.336  99413  32 11.48 Q 0
01 51 47.306 +00 56 02.040  92721  32 15.57 Q 0
01 51 47.499 +00 49 51.197  66419  32 12.59 Q 0
01 51 47.549 +00 58 23.952  99244  54 07.04 Q 0
01 51 47.577 +01 10 46.344  18160  20 20.35 Q 0
01 51 47.595 +01 00 27.252 107611  33 10.63 Q 0
01 51 47.625 +01 15 28.728 106993  35 10.24 Q 0
01 51 47.729 +00 54 17.172 108445  48 08.19 Q 0
01 51 48.084 +00 50 29.184 108577  53 08.00 Q 0
01 51 48.105 +00 49 12.209  71993  26 15.90 Q 0
01 51 48.110 +01 11 39.800  75776  24 17.95 Q 0
01 51 48.360 +00 38 48.552 114109  50 07.44 Q 0
01 51 48.463 +01 11 09.931  23603  24 18.86 Q 0
01 51 48.824 +01 04 04.275  49350  21 22.98 Q 0
01 51 48.854 +01 05 24.720  94548  76 05.25 Q 0
01 51 48.982 +00 57 15.660 109879  34 09.66 Q 0
01 51 49.358 +00 42 26.748  73345  71 06.17 Q 0
01 51 49.373 +00 54 55.656  75487  47 08.08 Q 0
01 51 49.893 +00 56 07.188  50756  27 19.31 Q 0
