muse_id model virial_velocity virial_velocity_err log_Mvir log_Mdvir_err concentration concentration_err rs_kpc rs_kpc_err rhos rhos_err log_X log_X_err
961 DC14 85.9281874656825 13.96420572134692 11.366099466527617 0.20344294958890352 15.41185026195766 1.4905313112605385 5.270389816625528 1.353647796599153 15745945.106152188 3382329.8973658746 -2.790829925788798 0.1546199544530081
963 DC14 123.53452940717258 47.907536601550525 11.760126384118962 0.6975990299201117 5.530645745213333 4.377918835081064 19.636332899918372 6.025420300639817 1934275.3272629306 7294616.695468009 -2.332716474594138 0.619948168341728
968 DC14 192.80624029124252 39.4102599435966 12.167710913840505 0.26992996604479647 13.081149976782353 2.220735212535678 7.699605667444806 2.772052438573517 33829322.65581745 14852177.414960096 -2.77989484369066 0.18279806125528542
975 DC14 120.37791078261125 11.486662194380681 11.547310329457382 0.1193638507491098 18.648693833540833 5.272174640821881 5.581458264179067 7.1614022267110435 75600169.5760324 50870528.65518008 -1.4157443964186227 0.19452042032434272
977 DC14 149.66970121207513 41.61583338904067 12.012767192322029 0.35369315923884964 16.97900337027405 3.6368004311715274 6.922566247732183 4.232870671216546 28178682.180108394 14543358.17911225 -2.729648245809211 0.2530536345441579
978 DC14 53.39579197899342 5.802018744168065 10.525731033509144 0.13957175986819245 18.929048608341326 4.634861838270906 1.8417448248936026 2.2347944225003546 70679803.7040697 36399856.80412101 -1.8069279860117176 0.48100536512269637
982 DC14 169.58712522940564 13.475755625095376 11.998256815975868 0.10182878545615216 7.908370971925336 0.4015247482513366 11.158740058993553 1.3705904857986966 10889595.84974945 1074923.6598739221 -2.8195969773434317 0.09629129415869883
983 DC14 88.54189019851894 6.502556659943909 11.301577465349714 0.09513205728170225 19.41422572887945 0.99474043421737 3.3288199846673105 0.39687835679308303 46936472.80021723 5195654.695833938 -2.923046122385488 0.07209650772501723
987 DC14 140.6321080951231 48.31600144309439 11.884909211043166 0.45660683147526676 14.923591899055133 4.65526496660316 7.1403624395038925 5.115324932590282 25561435.120661434 19281084.197003376 -2.5975361054049633 0.33684330102061416
995 DC14 121.36897669618926 18.307895474530056 11.57911050794673 0.17757700034813517 19.120571889155862 2.7007360868537926 3.5272172459829116 1.3014009165545537 75190487.26498732 24239331.439137034 -2.6039712220445503 0.2629203176339491
1000 DC14 51.37937192613629 2.3880695622871393 10.352543631634287 0.05997811627822875 19.801959056106554 3.7555154661359733 3.6368863811590177 1.6505401937976907 87920654.48319715 42714444.6836998 -1.2366865385323453 0.04571381189444624
1002 DC14 175.4311779309776 46.52290810952993 12.072474606767047 0.3199848267938107 8.099355720521055 0.885015676618602 13.213272001087846 4.069741336708425 8756256.922228128 2767789.5116449073 -2.1800070991280687 0.23741454280625204
1005 DC14 36.50106499838395 25.22237093627405 10.070181751686725 0.6561056067223573 9.978972967825133 5.915870052773229 3.4387291904731527 2.8483574731721935 11865694.257899497 30715189.073012497 -1.9497005600237782 0.4872444140449931
1007 DC14 25.06889241239557 12.714890191058227 9.636559915756624 0.47734595706364563 13.335779669316608 5.665337619082563 1.5113816452400348 1.9933566717029503 19607419.141889498 23167139.17440338 -2.2160506384474177 0.504051781104603
1008 DC14 67.49774645072637 24.513038750442238 11.006302593758853 0.4543426985256761 12.849914237448248 3.8265261475315087 4.503179606727531 3.581900197195106 12369413.901209816 9903145.888543151 -2.6577146762925343 0.30744797060155066
1013 DC14 90.61306427036911 35.57206783257283 11.359864474895904 0.4706027935034336 14.591015373588274 5.507507910609329 5.360572291825762 4.968295583949299 18717140.76355257 18264556.792316217 -2.511782085999602 0.3996256268032343
1022 DC14 82.96475610819054 48.91716582773657 11.174215662690695 0.6107267875446959 10.794858257290048 5.517340283765414 7.24741827191986 5.623161607397494 12648288.561061775 26119096.911384895 -2.026027031403365 0.4754506857940433
1029 DC14 166.22382959375506 52.58091531604591 11.988753015698304 0.3948900168886705 10.768103178964955 2.2875971127319867 9.092615900298926 3.9995315478746853 18707291.650581732 10480611.029178157 -2.3367978927389514 0.3339442181752907
1031 DC14 154.2745451000923 31.96975245316385 11.834503137260748 0.2691494288421476 11.821302190607616 2.270984891107018 6.30191269614758 2.452119784929281 31798634.65770585 15413667.748822512 -2.71884249499953 0.18723029868703914
1035 DC14 66.89249213864794 11.859781270392975 10.91095984521406 0.18949118729127787 19.05567431172512 5.046358092541595 2.9912190010462476 3.6924222591152227 46025250.47320532 25590479.947655585 -1.7583245051827008 0.4739238861958876
1037 DC14 88.31645997333982 18.896300059314456 11.278780708367094 0.256591079647116 14.779213160115942 2.3107377659800092 4.255811817460787 1.7192167335779827 24288129.870609004 9194892.5945073 -2.731098137357285 0.18496256270985334
1040 DC14 92.9510897574686 46.2748180164562 11.345419207606051 0.6563792940932113 9.33494820637359 4.478479078833065 7.61823807701644 5.898796992946987 8126179.640499147 15957201.581818549 -2.5490415597354055 0.40352651264923045
