muse_id z r_kpc incl PA Mstar eMstar SFR eSFR
950 0.9929201 0.7487028207323869 55.58460230410626 -81.2300033569336 9.347 0.065 0.367 0.44
952 0.95262045 1.399821481029203 41.828669233991945 0.5099999904632568 9.812 0.085 0.407 0.14
956 1.3174721 5.495082499457523 45.524898852128466 -15.949999809265137 9.702 0.11 0.702 0.08
958 0.3386575 3.479199238279962 61.07980392276708 -19.1200008392334 8.352 0.055 -0.758 0.33
961 0.3103074 2.140031384863151 59.24200227911282 43.189998626708984 8.147 0.05 -0.938 0.28
963 0.53263175 2.432566234710863 74.59928154562773 -29.450000762939453 8.872 0.06 -0.393 0.11
967 0.36686778 1.1150324424290181 59.24200227911282 16.559999465942383 8.337 0.07 -0.473 0.39
968 1.0879908 4.750968426814714 79.14203723594564 -57.869998931884766 10.06 0.04 1.252 0.465
971 0.6684209 2.044988718942118 49.19437970442268 -6.090000152587891 9.252 0.085 -0.578 0.29
975 1.1121706 5.622413652676674 35.26726679699608 -59.380001068115234 9.727 0.115 0.532 0.195
976 0.62016195 2.050480356448057 42.75577060143398 -85.05000305175781 9.207 0.08 -0.423 0.235
977 0.5249402 3.0671639426580573 30.48512217570619 -40.84000015258789 8.487 0.045 -0.578 0.22
978 0.98010784 2.6537666241578983 32.40897743859657 52.58000183105469 9.202 0.02 0.092 0.02
981 1.0952685 5.77637350726386 37.156182814207504 2.4700000286102295 9.347 0.015 0.362 0.05
982 1.096299 4.24808783416812 68.58280707852482 62.40999984741211 9.757 0.085 0.512 0.1
983 0.60546994 1.7485697784064793 62.9279310768458 71.52999877929688 8.712 0.23 -0.208 0.245
987 0.66444945 2.5498743539920827 30.48512217570619 -61.7400016784668 8.912 0.095 -0.188 0.605
991 1.2966676 3.3962543138144197 40.899288580848925 63.54999923706055 9.782 0.0 0.587 0.035
992 0.4544324 2.4753740869199445 52.84772515973276 -75.19000244140625 8.427 0.075 -0.543 0.24
995 1.0370439 2.8564153313441745 37.156182814207504 -28.18000030517578 9.407 0.135 0.327 0.37
1000 1.4368285 3.950719348388594 67.62404604901911 -79.4000015258789 9.512 0.21 0.627 0.075
1002 0.9905709 3.9908354397699566 72.52763898897012 81.91999816894531 9.432 0.0 0.072 0.0
1003 0.41924307 4.03371832916191 46.444384239052354 -4.309999942779541 8.402 0.05 -0.518 0.33
1005 0.845896 1.5920242860277463 57.411184882060894 -17.600000381469727 9.227 0.075 0.082 0.15
1007 0.669078 2.3380869312234718 39.03314193992836 -26.0 8.787 0.02 -0.558 0.095
1008 0.4357429 2.8881524169990325 51.93525905510012 -23.93000030517578 8.312 0.105 -0.393 0.415
1012 0.4244144 1.334984529513825 50.10877898330662 75.20999908447266 8.397 0.055 -0.473 0.385
1013 0.5223007 1.4970687311883681 60.15983908650999 -38.54999923706055 8.682 0.095 -0.228 0.465
1014 1.4909273 1.6707941781603348 58.32590431138751 46.130001068115234 9.737 0.095 0.777 0.3
1017 1.4382962 1.0535821992103958 45.524898852128466 -69.37000274658203 10.42 0.11 1.322 0.12
1022 0.73607713 1.2140755840302797 49.19437970442268 4.449999809265137 8.932 0.015 -0.368 0.15
1029 1.0373907 2.856621418198677 42.75577060143398 66.77999877929688 9.527 0.085 -0.083 0.11
1031 1.2445835 2.34016775519995 67.62404604901911 13.640000343322754 9.657 0.0 0.282 0.0
1035 0.6823666 3.830323454697796 90.0 -84.95999908447266 9.037 0.17 0.097 0.23
1037 0.66445965 3.1327230510370856 41.828669233991945 24.959999084472656 8.667 0.025 -0.503 0.31
1040 0.6644698 3.9341426130586328 68.58280707852482 0.27000001072883606 8.727 0.07 -0.733 0.11
1041 1.4255874 3.071448301727598 64.79057904529591 78.44000244140625 9.402 0.105 0.417 0.09
1043 0.6048918 2.2371905774856433 48.278962954227964 -5.449999809265137 8.422 0.045 -0.688 0.02
1046 1.088363 2.1211075385071987 51.93525905510012 -25.940000534057617 9.302 0.0 -0.073 0.0
1047 0.9540276 1.8945933181665544 67.62404604901911 30.709999084472656 8.897 0.015 -0.093 0.07
1053 1.0228659 4.020435779240739 80.43128749989607 89.02999877929688 9.167 0.015 0.022 0.065
1060 0.6225554 2.054015085541152 53.759952677878935 75.51000213623047 8.927 0.08 -0.593 0.25
1064 1.4257085 3.5102438044364432 64.79057904529591 -1.649999976158142 9.707 0.065 0.482 0.145
1065 0.52165216 1.8213522593776363 34.31797196015121 75.12999725341797 8.307 0.095 -0.613 0.365
1068 0.52283573 2.0839761455178247 59.24200227911282 37.970001220703125 8.347 0.12 -0.433 0.59
1076 1.0977324 3.6542545969977307 80.43128749989607 -82.30000305175781 9.242 0.145 0.057 0.325
1081 0.55973244 2.830408623833854 33.36525772182935 -65.77999877929688 8.297 0.06 -0.593 0.365
