pdb_id,h1_death_radius
4HHB,8.495953559875488
4HHB,7.971282958984375
4HHB,7.882390022277832
4HHB,8.650032997131348
4HHB,8.018260955810547
4HHB,7.806637763977051
4HHB,9.02026653289795
4HHB,8.865667343139648
4HHB,7.269391059875488
4HHB,7.673178195953369
4HHB,7.136657238006592
4HHB,7.641974925994873
4HHB,7.535158157348633
4HHB,7.278402805328369
4HHB,8.354280471801758
4HHB,8.500521659851074
4HHB,6.926840782165527
4HHB,6.697978496551514
4HHB,7.200720310211182
4HHB,7.254909515380859
4HHB,8.046529769897461
4HHB,7.492650985717773
4HHB,6.813556671142578
4HHB,7.68331241607666
4HHB,6.644500255584717
4HHB,8.12909984588623
4HHB,6.685856342315674
4HHB,7.988387584686279
4HHB,6.777566432952881
4HHB,6.83572244644165
4HHB,6.698154449462891
4HHB,6.781802177429199
4HHB,8.116392135620117
4HHB,6.432973384857178
4HHB,7.342808246612549
4HHB,6.399360179901123
4HHB,7.150938987731934
4HHB,7.3515496253967285
4HHB,7.5758891105651855
4HHB,6.486382484436035
4HHB,7.472839832305908
4HHB,7.857633590698242
4HHB,6.715415954589844
4HHB,6.197870254516602
4HHB,7.5967254638671875
4HHB,6.910889625549316
4HHB,7.216667652130127
4HHB,7.7026166915893555
4HHB,5.95976448059082
4HHB,8.28282356262207
4HHB,5.98134708404541
4HHB,6.490697383880615
4HHB,5.924216270446777
4HHB,8.376158714294434
4HHB,7.6504411697387695
4HHB,6.803223133087158
4HHB,6.351661682128906
4HHB,5.808916091918945
4HHB,5.865175724029541
4HHB,5.788059711456299
4HHB,6.819614410400391
4HHB,6.2235026359558105
4HHB,7.2266526222229
4HHB,6.853693962097168
4HHB,6.437263011932373
4HHB,8.343310356140137
4HHB,7.197188854217529
4HHB,5.736672878265381
4HHB,5.785551071166992
4HHB,7.802773952484131
4HHB,5.771194934844971
4HHB,5.701303005218506
4HHB,9.100393295288086
4HHB,5.654293060302734
4HHB,6.259786128997803
4HHB,5.830325603485107
4HHB,5.606133460998535
4HHB,5.569978713989258
4HHB,5.619793891906738
4HHB,5.9636101722717285
4HHB,8.938908576965332
4HHB,5.621865272521973
4HHB,8.336751937866211
4HHB,5.530259609222412
4HHB,5.575136184692383
4HHB,6.457980155944824
4HHB,5.624027729034424
4HHB,5.507244110107422
4HHB,5.54489803314209
4HHB,5.546868801116943
4HHB,5.510137557983398
4HHB,5.757569789886475
4HHB,5.623205184936523
4HHB,5.556710243225098
4HHB,5.4617109298706055
4HHB,5.553869247436523
4HHB,5.462528705596924
4HHB,5.4901580810546875
4HHB,7.819219589233398
4HHB,5.448220729827881
4HHB,5.408644199371338
4HHB,5.602902412414551
4HHB,5.447266578674316
4HHB,5.491628170013428
4HHB,5.642860412597656
4HHB,5.485057830810547
4HHB,5.413681983947754
4HHB,5.424325466156006
4HHB,5.619793891906738
4HHB,5.429461479187012
4HHB,5.4467878341674805
4HHB,5.47646951675415
4HHB,5.421006202697754
4HHB,5.427309036254883
4HHB,5.480235576629639
4HHB,5.513144493103027
4HHB,5.687812805175781
4HHB,5.482397556304932
4HHB,5.471934795379639
4HHB,5.478105068206787
4HHB,5.496454238891602
4HHB,5.562099933624268
4HHB,9.051173210144043
4HHB,5.3332343101501465
4HHB,5.533045768737793
4HHB,5.384612083435059
4HHB,5.62731409072876
4HHB,5.545203685760498
4HHB,5.568602085113525
4HHB,5.528296947479248
4HHB,5.314941883087158
4HHB,5.437595844268799
4HHB,6.949099063873291
4HHB,5.339073657989502
4HHB,5.423826217651367
4HHB,5.333493232727051
4HHB,5.542386531829834
4HHB,5.594213962554932
4HHB,5.433877944946289
4HHB,5.427269458770752
4HHB,5.3472466468811035
4HHB,5.426522731781006
4HHB,5.423501491546631
4HHB,6.108698844909668
4HHB,5.436784744262695
4HHB,5.52365779876709
4HHB,5.406620979309082
4HHB,5.280130386352539
4HHB,5.365036964416504
4HHB,5.437551975250244
4HHB,5.525402545928955
4HHB,5.326526165008545
4HHB,5.556456089019775
4HHB,5.280130386352539
4HHB,5.35242223739624
4HHB,5.4332990646362305
4HHB,5.3424391746521
4HHB,5.286849021911621
4HHB,5.562254905700684
4HHB,5.527523517608643
4HHB,5.504014015197754
4HHB,5.600700378417969
4HHB,5.544397830963135
4HHB,5.523403167724609
4HHB,5.4972920417785645
4HHB,5.297723293304443
4HHB,5.509963512420654
4HHB,5.373640060424805
4HHB,5.3618316650390625
4HHB,5.979153633117676
4HHB,5.460081577301025
4HHB,6.993137359619141
4HHB,5.505752086639404
4HHB,5.384404182434082
4HHB,5.24711799621582
4HHB,5.328680515289307
4HHB,5.470635890960693
4HHB,5.481949329376221
4HHB,5.620786190032959
4HHB,5.583207130432129
4HHB,5.406126976013184
4HHB,5.7625508308410645
4HHB,5.341506481170654
4HHB,5.463234901428223
4HHB,5.436784744262695
4HHB,5.415019512176514
4HHB,5.459951400756836
4HHB,5.334163665771484
4HHB,5.454917907714844
4HHB,5.34644889831543
4HHB,5.4467878341674805
4HHB,5.408943176269531
4HHB,5.330293655395508
4HHB,5.524140357971191
4HHB,5.434005260467529
4HHB,8.94490909576416
4HHB,5.593774795532227
4HHB,5.426218032836914
4HHB,5.317875862121582
4HHB,5.457203388214111
4HHB,5.201094627380371
4HHB,5.438194751739502
4HHB,5.5009684562683105
4HHB,5.410641670227051
4HHB,5.424325466156006
4HHB,5.3051981925964355
4HHB,7.140429973602295
4HHB,5.415019512176514
4HHB,5.351021766662598
4HHB,5.224869728088379
4HHB,6.137782573699951
4HHB,5.507244110107422
4HHB,5.403834819793701
4HHB,5.444221496582031
4HHB,5.4107561111450195
4HHB,5.482397556304932
4HHB,5.373264312744141
4HHB,5.292750835418701
4HHB,5.303425312042236
4HHB,5.319700717926025
4HHB,5.346920490264893
4HHB,5.528296947479248
4HHB,5.3424391746521
4HHB,5.284466743469238
4HHB,5.4968061447143555
4HHB,5.222070217132568
4HHB,5.498681545257568
4HHB,5.262119770050049
4HHB,5.3749098777771
4HHB,5.347249984741211
4HHB,5.2821455001831055
4HHB,5.195029258728027
4HHB,5.474974632263184
4HHB,8.177695274353027
4HHB,5.387197017669678
4HHB,5.357223033905029
4HHB,5.432301044464111
4HHB,5.195029258728027
4HHB,5.224839687347412
4HHB,5.373948097229004
4HHB,5.281929969787598
4HHB,5.3375630378723145
4HHB,6.982097148895264
4HHB,5.379791259765625
4HHB,5.336386203765869
4HHB,5.436875343322754
4HHB,5.301185131072998
4HHB,5.325600624084473
4HHB,5.275515556335449
4HHB,5.443910121917725
4HHB,5.417261600494385
4HHB,5.41239070892334
4HHB,5.2679362297058105
4HHB,5.255800724029541
4HHB,5.523698329925537
4HHB,5.527523517608643
4HHB,5.387197017669678
4HHB,5.4901580810546875
4HHB,5.527441501617432
4HHB,5.361504554748535
4HHB,5.324300289154053
4HHB,5.419097423553467
4HHB,5.276840686798096
4HHB,5.275515556335449
4HHB,5.384612083435059
4HHB,5.222266674041748
4HHB,5.320960998535156
4HHB,5.749546527862549
4HHB,5.2679362297058105
4HHB,5.187371730804443
4HHB,5.427269458770752
4HHB,5.408644199371338
4HHB,5.425658702850342
4HHB,5.3498759269714355
4HHB,5.3271307945251465
4HHB,5.556710243225098
4HHB,5.309915542602539
4HHB,5.273743629455566
4HHB,5.378366947174072
4HHB,5.630015850067139
4HHB,5.244444847106934
4HHB,5.254580020904541
4HHB,5.317875862121582
4HHB,5.292363166809082
4HHB,5.354516983032227
4HHB,5.427309036254883
